Data properties:

Recording date: 26/09/2011
Recording time: 16:19:54:000 (corresponds to time 0)
Study: Interacting with the CSP applet
Subject: P102
Recording: Rec 58
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
26	172	200	580	481	
27	372	383	527	477	
28	755	233	583	484	
29	1255	133	627	670	
30	1388	150	587	514	
31	1538	283	48	435	
32	1821	266	130	1017	
33	2088	416	185	1018	
34	2504	366	323	1045	
35	2870	183	435	461	
36	3054	500	571	439	
37	3553	333	532	451	
38	3886	100	407	754	
39	5502	266	583	471	
40	5768	250	535	457	
41	6018	350	580	462	
42	6368	300	600	643	
43	6668	799	586	465	
44	7467	966	583	644	
45	8433	583	623	419	
46	9016	183	613	195	
47	9199	599	583	168	
48	9799	250	630	171	
49	10049	683	699	182	
50	10732	200	654	396	
51	10932	366	591	214	
52	11298	166	409	448	
53	11464	233	331	465	
54	11698	117	377	780	
55	11814	233	490	381	
56	12047	383	635	404	
57	12431	533	929	320	
58	12964	216	744	361	
59	13180	416	778	383	
60	13596	366	961	313	
61	13963	749	637	410	
62	14712	250	343	475	
63	14962	333	532	644	
64	15295	350	767	385	
65	15645	266	822	514	
66	15912	633	849	478	
67	16544	217	825	542	
68	16761	600	868	465	
69	17361	316	824	551	
70	17677	550	959	319	
71	18227	250	868	501	
72	18476	466	957	322	
73	18943	200	826	580	
74	19143	433	839	524	
75	19576	633	821	563	
76	20209	183	728	777	
77	20392	283	696	806	
78	20675	283	817	559	
79	20958	666	958	314	
80	21624	150	709	771	
81	21774	216	690	816	
82	21991	233	771	587	
83	22224	1266	792	615	
84	23490	483	767	649	
85	23973	333	855	500	
86	24306	366	616	687	
87	24672	416	533	652	
88	25089	466	697	800	
89	25555	150	454	492	
90	25705	233	331	446	
91	25938	799	624	417	
92	26738	200	548	698	
93	26938	167	535	660	
94	27104	849	703	800	
95	27953	216	565	673	
96	28170	300	510	636	
97	28470	516	338	494	
98	28986	699	436	562	
99	29686	216	330	498	
100	29902	466	377	500	
101	30369	350	454	576	
102	30718	466	511	396	
103	31185	466	484	440	
104	31651	200	335	480	
105	31851	1066	629	415	
106	32917	150	457	442	
107	33067	183	340	461	
108	33250	283	950	337	
109	33533	533	680	396	
110	34066	266	643	195	
111	34333	266	697	178	
112	34599	849	684	394	
113	35448	217	644	187	
114	35665	150	691	181	
115	35815	400	52	94	
116	36215	200	580	405	
117	36415	483	637	413	
118	37031	1066	954	314	
119	38097	250	697	663	
120	38347	250	273	128	
121	38596	716	963	316	
122	39313	233	991	361	
123	39546	266	960	320	
124	39812	300	555	157	
125	40112	300	226	76	
126	40412	233	95	92	
127	40645	333	9	80	
128	40978	433	361	103	
129	41411	200	185	87	
130	41611	300	105	84	
131	41911	316	64	88	
132	42227	466	8	79	
133	42694	383	509	420	
134	43077	166	623	422	
135	43243	183	615	184	
136	43427	266	558	180	
137	43693	383	684	173	
138	44076	300	640	178	
139	44376	350	726	177	
140	44726	183	348	441	
141	44909	666	316	485	
142	45575	166	891	380	
143	45742	217	958	329	
144	45958	183	754	826	
145	46141	200	299	468	
146	46341	183	333	478	
147	46524	483	599	497	
148	47007	250	693	491	
149	47257	400	585	507	
150	47824	2682	587	523	
151	50505	583	597	587	
152	51088	400	594	505	
153	51488	366	319	445	
154	51854	266	620	194	
155	52121	383	710	187	
156	52504	316	653	391	
157	52820	483	569	428	
158	53303	333	631	413	
159	53636	649	669	401	
160	54286	616	962	314	
161	54902	600	644	404	
162	55502	466	965	312	
163	55968	316	658	395	
164	56285	716	524	653	
165	57001	250	360	504	
166	57251	433	687	800	
167	57684	483	531	642	
168	58167	167	617	717	
169	58333	566	693	794	
170	58899	350	577	652	
171	59249	233	839	505	
172	59482	183	918	357	
173	59666	250	953	328	
174	59916	500	852	526	
175	60415	1266	958	327	
176	61681	300	878	486	
177	61981	200	706	769	
178	62181	183	687	810	
179	62364	983	631	417	
180	63347	450	413	454	
181	63796	183	912	340	
182	63979	217	957	319	
183	64196	1133	625	411	
184	65329	250	314	481	
185	65578	333	621	424	
186	65911	416	635	156	
187	66328	300	529	586	
188	66628	233	171	996	
189	66861	250	53	908	
190	67111	217	497	497	
191	67327	266	334	469	
192	67594	250	504	614	
193	67843	450	956	325	
194	68293	150	731	767	
195	68443	133	685	798	
196	68576	849	321	476	
197	69426	466	57	920	
198	69892	266	81	873	
199	70159	283	12	893	
200	70442	167	374	501	
201	70608	250	325	482	
202	70858	316	592	509	
203	71175	216	632	516	
204	71391	233	704	493	
205	71624	716	616	517	
206	72341	749	600	549	
207	73090	999	583	586	
208	74089	633	657	416	
209	74722	283	856	337	
