Data properties:

Recording date: 22/06/2011
Recording time: 12:25:47:000 (corresponds to time 0)
Study: Interacting with the CSP applet
Subject: P79
Recording: Rec 34
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
15	27	83	410	383	
16	110	366	528	490	
17	476	466	612	479	
18	943	300	132	280	
19	1242	117	139	319	
20	1359	167	123	281	
21	1526	1166	582	468	
22	2691	283	546	464	
23	2975	316	587	481	
24	3291	400	600	640	
25	3691	799	586	481	
26	4490	216	716	433	
27	4707	217	673	406	
28	4923	250	384	173	
29	5173	183	647	174	
30	5356	250	237	63	
31	5606	300	74	58	
32	5906	100	55	203	
33	6006	383	20	59	
34	6389	266	52	203	
35	6655	200	47	65	
36	6855	200	671	450	
37	7055	316	816	555	
38	7372	167	625	450	
39	7655	167	554	161	
40	7821	316	288	95	
41	8138	133	234	91	
42	8271	216	235	146	
43	8488	650	342	109	
44	9137	233	93	227	
45	9370	366	56	243	
46	9737	366	101	223	
47	10103	350	631	419	
48	10453	200	571	656	
49	14883	17	1611	1366	
50	53890	266	657	381	
51	54157	267	601	392	
52	54423	1366	535	417	
53	55789	649	633	391	
54	56439	583	721	377	
55	57022	250	127	162	
56	57272	749	56	201	
57	58021	1349	112	196	
58	59370	167	460	344	
59	59537	333	464	430	
60	59870	633	648	384	
61	60503	167	693	361	
62	60669	416	658	165	
63	61086	183	883	316	
64	61269	516	948	313	
65	61785	450	912	385	
66	62235	266	645	188	
67	62501	400	790	354	
68	62901	5097	804	590	
69	67998	1016	857	491	
70	69014	333	820	547	
71	69347	766	861	476	
72	70113	283	901	420	
73	70396	966	864	467	
74	71362	233	887	381	
75	71595	1666	783	358	
76	73261	300	609	134	
77	73561	1149	675	132	
78	74710	383	599	139	
79	75093	1382	538	412	
80	76475	133	685	394	
81	76609	466	548	414	
82	77075	350	717	381	
83	77425	217	462	464	
84	77641	600	406	534	
85	78241	166	362	516	
86	78407	966	417	532	
87	79373	183	658	194	
88	79557	150	662	153	
89	79706	1016	615	135	
90	80722	233	141	846	
91	80956	200	96	883	
92	81155	266	48	884	
93	81422	167	493	568	
94	81589	633	349	500	
95	82221	283	435	547	
96	82505	1999	551	652	
97	84503	167	691	515	
98	84670	266	832	516	
99	84936	200	735	797	
100	85136	633	59	886	
101	85769	383	101	878	
102	86152	250	542	243	
103	86402	183	579	165	
104	86585	266	544	152	
105	86852	167	211	328	
106	87018	216	119	302	
107	87235	200	94	843	
108	87435	999	127	871	
109	88434	200	304	519	
110	88634	1366	161	455	
111	89999	1449	196	473	
112	91598	300	196	482	
113	91898	266	246	482	
114	92165	583	185	474	
115	92748	3481	182	570	
116	96229	533	161	532	
117	96762	366	171	579	
118	97128	350	301	571	
119	97478	300	173	602	
120	97778	266	223	596	
121	98044	300	170	599	
122	98344	666	177	542	
123	99010	433	171	592	
124	99443	699	169	528	
125	100143	1716	182	459	
126	101858	300	226	463	
127	102308	699	196	458	
128	103008	117	561	262	
129	103124	183	597	148	
130	103307	250	670	148	
131	103557	366	578	111	
132	103924	250	619	122	
133	104174	433	690	134	
134	104606	633	542	155	
135	105239	1116	615	160	
136	106355	433	660	166	
137	106788	716	735	168	
138	107504	316	555	160	
139	107821	233	518	156	
140	108054	1199	321	462	
141	109253	166	583	251	
142	109420	283	671	167	
143	109703	183	535	433	
144	109886	150	598	407	
145	110036	450	320	461	
146	110486	583	614	498	
147	111219	250	651	555	
148	111469	1083	581	536	
149	112551	483	636	519	
150	113034	350	598	576	
151	113384	366	654	551	
152	113750	133	608	573	
153	113884	150	401	516	
154	114033	566	340	475	
155	114600	216	519	589	
156	114816	200	484	533	
157	115016	216	495	588	
158	115233	216	605	498	
159	115449	167	422	361	
160	115616	516	367	483	
161	116132	1732	397	531	
162	117864	949	413	446	
163	118814	266	573	409	
164	119080	300	629	398	
165	119380	1133	699	378	
166	120512	583	870	333	
167	121095	366	905	375	
168	121462	150	696	232	
169	121612	183	640	176	
170	121795	167	864	360	
171	121962	566	894	398	
172	122528	150	461	354	
173	122678	316	341	427	
174	122994	183	848	411	
175	123177	1432	890	411	
176	124610	117	651	442	
177	124726	250	854	433	
178	129490	899	889	436	
179	130389	183	435	464	
180	130572	300	402	165	
181	130872	350	159	201	
182	131222	167	107	236	
183	131538	333	891	463	
184	131871	266	580	395	
185	132138	200	623	399	
186	132338	100	146	342	
187	132438	167	215	305	
188	132604	150	-500	-46	
189	132754	316	-498	61	
190	133071	433	620	413	
191	133504	233	245	250	
192	133737	250	141	248	
193	133987	150	-503	-269	
194	134137	133	-414	-198	
195	134270	350	736	412	
196	134620	216	234	241	
197	134836	266	-475	-336	
198	135103	233	660	459	
199	135336	466	873	451	
200	135802	250	606	601	
201	136052	267	883	451	
202	136319	333	694	676	
203	136652	300	859	480	
204	136951	250	896	402	
205	137201	450	512	601	
206	137651	233	609	679	
207	137884	350	835	502	
208	138234	267	891	445	
209	138500	2215	790	619	
210	140715	250	756	700	
211	140965	1982	594	685	
212	142947	217	619	713	
213	143164	416	555	665	
214	143580	233	599	702	
215	143813	433	699	764	
216	144246	483	524	646	
217	144729	400	697	772	
218	145129	850	548	646	
219	145979	300	712	759	
220	146279	283	400	475	
221	146562	500	336	476	
222	147244	100	124	969	
223	147344	183	90	907	
224	147528	233	51	907	
225	147761	1366	572	671	
226	149127	200	730	627	
227	149326	483	823	570	
228	149809	150	624	649	
229	149959	2865	869	466	
230	152824	533	906	419	
231	153357	283	606	430	
232	153640	316	906	362	
233	153957	233	616	411	
234	154190	216	549	418	
235	154540	266	863	418	
236	154806	216	680	396	
237	155023	383	975	308	
238	155406	133	614	364	
239	159170	183	395	401	
240	159353	450	552	438	
241	160485	150	598	435	
242	160635	233	478	457	
243	160869	183	371	467	
244	161052	550	548	429	
245	161601	216	416	456	
246	161818	200	587	424	
247	162018	283	401	515	
248	162301	250	512	594	
249	162551	233	573	446	
250	162784	183	482	478	
251	162967	500	637	408	
252	163467	283	420	491	
253	163933	250	722	703	
254	164183	416	829	505	
255	164599	233	447	448	
256	164833	233	302	220	
257	165066	200	839	210	
258	165266	183	688	157	
259	165449	583	628	141	
260	166032	316	688	128	
261	166348	833	425	553	
262	167181	183	828	576	
263	167364	183	844	502	
264	167547	200	678	722	
265	167747	200	698	757	
266	167947	183	497	600	
267	168130	366	338	490	
268	168497	233	630	416	
269	168730	133	886	405	
270	168863	250	951	326	
271	169113	383	330	467	
272	169496	200	914	332	
273	169696	616	954	317	
274	170312	383	723	771	
275	170695	250	841	519	
276	170945	150	657	397	
277	171095	483	961	322	
278	171578	216	614	519	
279	171795	1532	652	499	
280	173327	749	575	534	
281	174076	200	647	516	
282	174276	816	600	550	
283	175092	400	634	499	
284	175492	366	600	570	
285	175859	366	634	505	
286	176225	150	882	373	
287	176375	250	954	320	
288	176625	267	644	384	
289	176891	233	580	407	
290	177124	250	745	590	
291	177541	1332	514	424	
292	178873	150	404	445	
293	179023	116	358	453	
294	179140	216	656	399	
295	179356	333	966	305	
296	179689	1416	517	423	
297	181105	283	590	410	
298	181388	600	783	546	
299	181988	383	803	583	
300	182371	166	658	661	
301	182537	200	794	623	
302	182737	1332	809	573	
303	184236	117	820	567	
304	184353	167	837	536	
305	184520	183	636	621	
306	184703	217	799	578	
307	184919	550	717	760	
308	185469	166	893	420	
309	185635	383	969	314	
310	186018	433	798	587	
311	186452	583	828	537	
312	187034	366	722	736	
313	187401	650	824	566	
314	188050	266	729	713	
315	188317	250	597	678	
316	188567	433	519	641	
317	189000	250	461	600	
318	189250	116	359	514	
319	189366	366	333	484	
320	189733	266	576	671	
321	189999	300	709	755	
322	190299	333	572	669	
323	190632	200	508	627	
324	190832	200	436	565	
325	191032	466	563	637	
326	191498	400	657	715	
327	191898	799	699	765	
328	192697	316	609	702	
329	193014	283	490	588	
330	193297	300	637	451	
331	193597	150	588	484	
332	193747	216	892	375	
333	193963	283	660	376	
334	194246	483	959	322	
335	194729	266	771	594	
336	194996	150	702	752	
337	195146	350	831	545	
338	195495	983	476	579	
339	196478	216	342	502	
340	196695	216	448	552	
341	196911	250	339	488	
342	197161	733	464	571	
343	197894	216	417	550	
344	198110	250	453	559	
345	198360	200	376	511	
346	198560	400	339	495	
347	198960	266	451	569	
348	199226	183	739	716	
349	199410	283	791	477	
350	199693	283	823	496	
351	199976	250	639	422	
352	200226	100	580	440	
353	200426	166	154	848	
354	200592	250	76	892	
355	200842	600	37	917	
356	201442	150	348	1025	
357	206455	183	468	935	
358	225175	117	656	480	
359	225292	167	783	367	
360	225458	233	626	385	
361	225692	450	847	352	
362	226141	316	949	323	
363	226458	183	747	377	
364	226641	366	798	572	
365	227007	167	666	692	
366	227174	283	520	622	
367	227457	283	702	754	
368	227740	167	464	585	
369	227907	250	330	496	
370	228157	366	327	145	
371	229522	33	1284	1240	
372	229789	133	3725	1291	
373	230155	17	1810	1138	
374	234136	100	-1725	1046	
375	234386	17	2131	410	
376	248976	83	377	88	
377	249059	350	186	102	
378	249409	250	158	136	
