Data properties:

Recording date: 22/06/2011
Recording time: 17:52:59:000 (corresponds to time 0)
Study: Interacting with the CSP applet
Subject: P80
Recording: Rec 35
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
15	2008	416	542	422	
16	2425	366	598	428	
17	2791	683	560	446	
18	3474	333	596	466	
19	3807	933	536	510	
20	4740	200	395	472	
21	4940	183	332	464	
22	5123	300	516	609	
23	5423	183	736	696	
24	5606	183	703	762	
25	5789	200	811	432	
26	5989	133	801	274	
27	6122	250	572	193	
28	6372	216	551	160	
29	6589	583	599	156	
30	7172	200	214	936	
31	7372	200	97	881	
32	7571	316	52	876	
33	7888	483	170	873	
34	8371	233	447	598	
35	8604	183	502	594	
36	8787	233	528	620	
37	9020	300	354	480	
38	9470	83	466	462	
39	9553	216	618	402	
40	9770	183	144	242	
41	9953	1083	82	162	
42	11036	600	138	148	
43	11769	167	423	501	
44	11935	483	350	480	
45	12418	167	471	598	
46	12585	383	524	623	
47	12968	716	453	571	
48	13684	366	537	628	
49	14050	250	648	855	
50	14300	616	76	889	
51	14916	183	220	246	
52	15100	533	168	77	
53	15633	799	130	-8	
54	16432	100	125	83	
55	21429	167	395	667	
56	21595	100	305	373	
57	24210	83	-51	106	
58	24293	350	168	150	
59	24643	283	210	134	
60	24926	150	158	198	
61	25076	200	159	126	
62	25276	283	212	122	
63	25559	2082	306	130	
64	27641	416	231	110	
65	28058	2615	304	136	
66	30673	516	169	93	
67	31189	183	119	99	
68	31372	300	184	99	
69	31672	100	235	122	
70	31772	133	208	98	
71	31905	266	171	118	
72	32172	200	211	114	
73	32372	1849	178	150	
74	34220	483	218	148	
75	34703	350	171	177	
76	35053	266	550	406	
77	35320	116	398	466	
78	35586	266	353	504	
79	35853	216	628	380	
80	36069	250	571	195	
81	36319	250	245	143	
82	36569	250	156	157	
83	36819	2782	102	185	
84	39600	483	132	153	
85	40083	616	76	171	
86	40699	550	68	123	
87	41249	600	84	166	
88	41849	300	662	374	
89	42149	233	753	384	
90	42382	383	888	325	
91	42765	266	692	370	
92	43031	233	647	398	
93	43265	183	881	342	
94	43448	250	936	303	
95	43698	316	609	411	
96	44014	883	483	438	
97	44897	216	618	416	
98	45113	600	516	422	
99	45713	167	631	235	
100	45879	233	584	162	
101	46113	916	671	156	
102	47029	433	607	162	
103	47462	133	673	157	
104	47595	2065	618	159	
105	49660	216	564	170	
106	50027	583	569	166	
107	50610	2648	618	152	
108	53258	550	679	144	
109	53808	466	752	342	
110	54274	966	678	149	
111	55240	166	913	393	
112	55407	283	706	392	
113	55690	833	884	431	
114	56523	316	820	531	
115	56839	1049	809	575	
116	57888	150	567	511	
117	58038	616	506	590	
118	58654	983	455	560	
119	59636	300	577	641	
120	59936	766	606	678	
121	60702	200	622	423	
122	60902	333	642	375	
123	61235	300	636	141	
124	61535	233	683	137	
125	61768	150	318	922	
126	61918	233	156	876	
127	62151	383	69	871	
128	62535	233	184	863	
129	62768	200	575	857	
130	62968	400	682	822	
131	63367	200	714	766	
132	63567	167	651	478	
133	63734	250	454	394	
134	63983	233	108	171	
135	64217	133	144	103	
136	64350	233	96	130	
137	64583	550	356	114	
138	65133	400	428	534	
139	65533	1999	379	579	
140	67531	400	422	605	
141	67931	1566	379	702	
142	69496	300	516	719	
143	69796	283	369	742	
144	70079	400	414	738	
145	70479	550	381	706	
146	71029	483	379	620	
147	71512	866	370	674	
148	72378	1865	381	593	
149	74243	433	434	602	
150	74676	416	652	508	
151	75093	183	624	177	
152	75276	533	588	148	
153	75809	250	636	140	
154	76059	533	700	142	
155	76592	1049	538	173	
156	77641	566	579	168	
157	78207	1199	641	166	
158	79406	466	718	164	
159	79873	133	385	452	
160	80006	1099	352	481	
161	81105	683	623	500	
162	81788	250	587	493	
163	82038	500	567	534	
164	82538	666	663	529	
165	83204	167	458	486	
166	83370	250	651	452	
167	83620	233	595	510	
168	84003	1083	590	527	
169	85086	400	663	521	
170	85486	983	631	496	
171	86468	333	615	547	
172	86801	816	349	472	
173	87618	933	645	380	
174	88550	233	701	403	
175	88783	966	739	595	
176	89749	333	782	589	
177	90083	300	726	627	
178	90382	383	683	474	
179	90765	433	772	418	
180	91198	266	734	620	
181	91465	283	686	360	
182	91748	666	649	375	
183	92414	583	353	467	
184	92997	266	655	385	
185	93264	899	949	297	
186	94163	650	619	519	
187	94813	400	675	525	
188	95212	450	642	488	
189	95662	316	627	553	
190	95979	316	626	465	
191	96295	150	871	328	
192	96445	333	944	297	
193	96778	283	619	404	
194	97061	300	591	152	
195	97361	233	666	140	
196	97594	350	622	149	
197	97944	150	536	571	
198	98094	316	518	623	
199	98410	383	50	906	
200	98793	183	75	865	
201	98977	416	144	867	
202	99393	400	64	907	
203	99793	849	525	620	
204	100642	166	751	743	
205	100809	1049	710	760	
206	101858	316	618	519	
207	102174	133	583	527	
208	102308	949	678	513	
209	103257	183	626	488	
210	103440	266	661	570	
211	103707	666	596	566	
212	104373	216	681	731	
213	104589	166	116	862	
214	104756	550	81	921	
215	105306	866	828	533	
216	106172	500	950	306	
217	106671	600	639	385	
218	107271	466	657	148	
219	107737	183	611	155	
220	107921	483	528	170	
221	108403	316	600	163	
222	108720	999	534	168	
223	109719	466	592	160	
224	110186	316	636	160	
225	110502	383	703	159	
226	110885	416	739	161	
227	111302	350	784	160	
228	111651	133	820	399	
229	111785	133	923	366	
230	111918	733	943	307	
231	112651	416	819	544	
232	113067	616	718	774	
233	113683	200	941	341	
234	113883	350	949	295	
235	114233	616	830	531	
236	114849	167	709	724	
237	115016	733	712	776	
238	115749	100	674	722	
239	115848	450	711	772	
240	116298	200	833	572	
241	116498	600	713	761	
242	117098	283	620	534	
243	117381	300	649	499	
244	117681	533	664	532	
245	118214	483	632	496	
246	118697	283	593	568	
247	118980	283	705	514	
248	119263	217	757	763	
249	119479	183	712	776	
250	119662	466	949	312	
251	120129	333	825	525	
252	120462	366	652	377	
253	120828	467	344	458	
254	121295	166	749	348	
255	121462	833	649	378	
256	122294	166	353	446	
257	122461	300	346	486	
258	122761	150	712	369	
259	122911	616	946	306	
260	123527	450	642	389	
261	124110	1099	339	478	
262	125209	200	375	466	
263	125409	550	581	515	
264	125959	200	709	535	
265	126159	300	664	531	
266	126458	500	633	503	
267	126958	200	675	499	
268	127158	233	626	549	
269	127391	183	938	336	
270	127574	366	951	303	
271	127941	266	791	592	
272	128207	333	714	776	
273	128540	516	642	378	
274	129206	100	534	674	
275	129306	500	517	628	
276	129806	500	712	771	
277	130306	200	307	504	
278	130506	300	336	483	
279	130805	183	662	732	
280	130989	266	717	768	
281	131255	600	330	489	
282	131855	150	601	738	
283	132004	450	708	782	
284	132454	566	340	489	
285	133020	100	668	555	
286	133120	516	593	574	
287	133637	150	519	615	
288	133787	216	345	483	
289	134003	416	88	944	
290	134419	283	120	868	
291	134703	200	46	881	
292	134902	183	629	885	
293	135086	266	1099	950	
294	135352	216	503	841	
295	135569	350	705	806	
296	135919	200	619	828	
297	136118	150	1225	743	
298	136268	316	1247	486	
299	136585	733	1242	539	
300	137318	166	576	210	
301	137484	483	540	172	
302	137967	416	629	142	
303	138384	233	670	139	
304	138617	749	621	135	
305	139366	466	676	137	
306	139833	200	261	43	
307	140032	600	300	110	
308	140632	400	361	116	
309	141032	1216	149	124	
310	142414	166	184	101	
311	142581	133	151	123	
312	142914	83	574	427	
313	142997	266	660	417	
314	143264	300	803	552	
315	143563	216	188	122	
316	143780	216	116	95	
317	143996	266	87	122	
318	144263	700	153	140	
319	144962	233	480	382	
320	145196	283	658	406	
321	145479	283	751	497	
322	145762	1999	654	383	
323	147761	383	524	590	
324	148144	150	592	653	
325	148294	200	121	904	
326	148493	183	72	919	
327	148677	183	177	978	
328	148860	167	538	568	
329	149026	783	345	468	
330	149809	483	528	615	
331	150292	483	345	485	
332	150775	866	649	371	
333	151641	450	820	528	
334	152091	400	710	764	
335	152491	716	527	613	
336	153207	450	947	296	
337	153657	466	647	354	
338	154123	300	185	110	
339	154423	683	296	106	
340	155106	200	414	434	
341	155306	600	342	475	
342	155905	500	626	377	
343	156405	483	937	289	
344	156888	433	706	779	
345	157321	316	517	616	
346	157637	400	338	484	
347	158037	350	99	960	
348	158387	1083	138	978	
349	159469	416	178	974	
350	160019	316	47	874	
351	160535	150	183	186	
352	160685	333	109	161	
353	161018	600	142	106	
354	161618	516	112	951	
355	162134	200	734	668	
356	162334	166	603	450	
357	162501	217	643	385	
358	162717	233	265	184	
359	162950	150	201	134	
360	163100	1532	159	208	
361	164632	283	647	146	
362	164916	1599	609	164	
363	166514	1266	667	164	
364	167780	250	557	155	
365	168030	183	598	154	
366	168213	600	313	170	
367	168813	566	376	150	
368	169512	133	357	429	
369	169646	200	399	464	
370	169846	849	343	472	
371	170695	200	665	378	
372	170895	183	745	746	
373	171078	566	709	773	
374	171644	533	341	481	
375	172377	183	515	586	
376	172560	433	247	145	
377	172993	200	151	104	
378	173193	100	354	148	
379	173460	117	627	700	
380	173576	949	709	769	
381	174526	167	344	532	
382	174692	649	346	470	
383	175342	183	560	608	
384	175525	550	523	610	
385	176075	416	344	488	
386	176691	100	412	505	
387	176791	583	347	470	
388	177374	433	645	389	
389	177807	100	-99	31	
390	179256	100	578	494	
391	179356	600	829	530	
392	179955	583	644	378	
393	180538	583	957	278	
394	181121	200	804	572	
395	181321	416	717	759	
396	181738	200	920	341	
397	181937	383	962	274	
398	182437	216	586	437	
