Data properties:

Recording date: 20/09/2011
Recording time: 14:17:16:000 (corresponds to time 0)
Study: Interacting with the CSP applet
Subject: P90
Recording: Rec 45
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
15	33	733	562	485	
16	766	383	601	486	
17	1149	216	301	907	
18	1365	183	298	969	
19	1548	300	4	577	
20	1848	266	566	398	
21	2115	167	590	477	
22	2281	749	546	438	
23	3031	216	583	458	
24	3247	100	526	1111	
25	3780	133	898	-431	
26	4230	1216	556	482	
27	5446	216	607	637	
28	5662	666	557	468	
29	6328	616	585	651	
30	6945	600	575	443	
31	7544	400	627	426	
32	7944	300	112	90	
33	8244	650	19	115	
34	8893	200	498	433	
35	9093	266	641	401	
36	9360	250	352	451	
37	9610	217	106	34	
38	9826	816	47	130	
39	10642	250	488	500	
40	10892	266	631	424	
41	11158	383	326	484	
42	11542	167	385	477	
43	11891	83	428	468	
44	11975	233	332	488	
45	12208	216	76	95	
46	12424	316	36	102	
47	12741	350	101	108	
48	13090	167	60	116	
49	13257	216	529	497	
50	13474	333	644	423	
51	13807	366	329	465	
52	14173	200	670	757	
53	14373	366	704	767	
54	14739	167	450	561	
55	14906	300	499	613	
56	15206	366	319	466	
57	15572	150	601	422	
58	15722	600	638	402	
59	16322	799	959	311	
60	17121	283	641	377	
61	17404	733	830	541	
62	18137	216	847	337	
63	18354	849	952	316	
64	19203	583	641	392	
65	19786	500	320	469	
66	20286	250	631	400	
67	20536	233	951	307	
68	20769	167	679	360	
69	20935	550	645	389	
70	21485	483	843	342	
71	21968	183	945	313	
72	22151	150	612	385	
73	22301	100	616	434	
74	22584	217	635	406	
75	22801	183	378	436	
76	22984	350	329	464	
77	23334	600	513	432	
78	23933	250	325	447	
79	24183	616	523	427	
80	24799	350	332	460	
81	25149	450	507	626	
82	25599	283	616	415	
83	25882	616	408	532	
84	26498	533	843	527	
85	27031	633	960	312	
86	27664	183	822	608	
87	27847	450	716	767	
88	28297	849	831	532	
89	29146	316	509	637	
90	29463	233	841	542	
91	29696	600	954	319	
92	30296	200	875	511	
93	30496	183	826	551	
94	30679	400	37	101	
95	31078	266	931	389	
96	31345	233	842	566	
97	31578	166	1183	995	
98	31745	233	1236	983	
99	32161	150	717	472	
100	32311	366	824	586	
101	32677	999	711	766	
102	33677	200	782	642	
103	33877	200	833	550	
104	34076	433	741	769	
105	34510	233	825	540	
106	34743	500	515	636	
107	35242	400	310	486	
108	35642	550	699	755	
109	36192	366	523	639	
