Data properties:

Recording date: 24/09/2011
Recording time: 12:16:00:000 (corresponds to time 0)
Study: Interacting with the CSP applet
Subject: P95
Recording: Rec 51
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
23	94	166	574	505	
24	260	167	559	471	
25	577	183	626	477	
26	927	183	534	474	
27	1110	200	154	816	
28	1310	1382	56	800	
29	2692	483	61	878	
30	3175	450	62	944	
31	3625	250	60	431	
32	4041	166	30	384	
33	4208	333	39	325	
34	4541	283	42	184	
35	4824	250	114	108	
36	5074	300	611	130	
37	5374	649	563	433	
38	6240	966	559	528	
39	7206	1233	557	440	
40	9804	466	555	469	
41	10271	1582	597	453	
42	11853	250	586	645	
43	12103	233	675	638	
44	12336	400	597	645	
45	12736	683	557	462	
46	13418	316	609	167	
47	13735	250	650	398	
48	13985	183	966	315	
49	14168	550	605	145	
50	14718	133	681	148	
51	15017	33	692	157	
52	15217	183	672	171	
53	15401	183	602	182	
54	15584	250	631	384	
55	15834	216	332	449	
56	16050	217	553	559	
57	16267	283	547	151	
58	16550	283	700	743	
59	16833	250	519	629	
60	17083	166	373	490	
61	17249	283	186	80	
62	17532	200	238	83	
63	17732	416	140	83	
64	18149	183	90	110	
65	18332	799	46	104	
66	19131	300	347	92	
67	19431	216	240	82	
68	19648	849	61	89	
69	20497	416	154	80	
70	20914	633	53	71	
71	21546	816	121	76	
72	22363	283	257	84	
73	22646	350	317	88	
74	22995	150	370	90	
75	23295	166	383	96	
76	23462	932	625	393	
77	24394	167	394	434	
78	24561	366	355	474	
79	24927	583	436	449	
80	25510	816	341	469	
81	26326	183	578	469	
82	26510	416	629	492	
83	26926	216	631	547	
84	27142	683	671	575	
85	28042	183	560	422	
86	28225	250	380	429	
87	28475	133	549	400	
88	28758	400	609	173	
89	29158	483	135	882	
90	29641	233	74	850	
91	29874	150	110	842	
92	30174	250	641	371	
93	30423	466	949	301	
94	30890	167	627	352	
95	31056	250	595	160	
96	31306	133	355	69	
97	31589	150	600	470	
98	31739	266	425	441	
99	32006	250	508	425	
100	32256	816	619	396	
101	33072	183	585	407	
102	33255	483	457	439	
103	33738	366	561	416	
104	34104	217	625	401	
105	34487	183	569	407	
106	34671	266	406	439	
107	34937	500	538	401	
108	35437	217	632	150	
109	35653	450	686	150	
110	36103	250	619	156	
111	36353	250	865	333	
112	36603	433	830	333	
113	37036	533	683	143	
114	37569	383	858	318	
115	37952	267	616	170	
116	38218	483	700	158	
117	38701	183	618	156	
118	38884	333	943	304	
119	39218	383	678	369	
120	39601	1366	895	398	
121	40966	283	644	142	
122	41249	167	686	148	
123	41416	416	908	356	
124	41832	749	787	622	
125	42715	383	827	537	
126	43098	200	888	374	
127	43298	799	642	151	
128	44098	200	677	147	
129	44297	466	618	145	
130	44764	100	587	163	
131	45080	100	796	627	
132	45180	250	581	672	
133	45430	216	496	596	
134	45647	966	422	522	
135	46613	799	668	145	
136	47412	266	619	150	
137	47678	250	239	122	
138	48095	166	495	629	
139	48261	600	587	671	
140	48861	1033	649	153	
141	49894	216	685	151	
142	50110	233	627	582	
143	50343	616	643	379	
144	50960	483	348	450	
145	51443	150	503	548	
146	51592	133	627	386	
147	51959	266	665	359	
148	52225	433	956	308	
149	52658	316	543	610	
150	52975	416	341	483	
151	53391	216	538	611	
152	53608	250	701	775	
153	53858	117	639	832	
154	53974	383	98	864	
155	54357	167	55	859	
156	54524	283	161	848	
157	54807	250	202	88	
158	55057	667	122	73	
159	55723	2049	40	61	
160	57888	250	644	374	
161	58138	233	622	157	
162	58371	783	666	149	
163	59154	316	572	144	
164	59471	433	629	145	
165	59904	300	702	152	
166	60204	300	951	284	
167	60503	283	343	465	
168	60787	166	637	701	
169	60953	250	712	768	
170	61203	133	459	581	
171	61336	616	347	453	
172	61952	333	609	436	
173	62286	433	608	495	
174	62719	183	668	531	
175	62902	117	584	537	
176	63252	533	619	524	
177	63785	799	664	540	
178	64751	133	625	514	
179	64884	233	581	480	
180	65117	333	586	544	
181	65450	266	681	546	
182	65717	366	637	508	
183	66083	200	681	508	
184	66283	383	644	583	
185	66666	400	606	573	
186	67249	133	588	561	
187	67382	450	360	465	
188	67832	533	629	165	
189	68365	183	651	401	
190	68548	1182	798	348	
191	69731	400	678	159	
192	70130	167	603	156	
193	70430	116	660	187	
194	70547	233	704	155	
195	70780	300	639	153	
196	71080	200	848	310	
197	71279	200	939	306	
198	71479	566	644	387	
199	72046	683	602	700	
200	72729	700	544	631	
201	73428	216	577	649	
202	73645	500	629	160	
203	74144	683	541	156	
204	74827	233	646	707	
205	75060	266	702	754	
206	75327	266	894	422	
207	75593	300	915	362	
208	75893	433	899	415	
209	76459	1033	907	388	
210	77492	633	674	145	
211	78125	200	607	150	
212	78325	233	537	152	
213	78558	167	749	145	
214	78941	200	962	320	
215	79141	216	570	410	
216	79357	217	403	434	
217	79574	400	366	441	
218	79974	233	498	418	
219	80207	849	665	154	
220	81056	466	623	156	
221	81523	266	509	405	
222	81789	300	702	568	
223	82089	150	407	478	
224	82239	183	354	458	
225	82422	183	703	403	
226	82605	283	949	325	
227	82888	233	740	758	
228	83272	150	543	628	
229	83421	250	817	536	
230	83671	250	631	404	
231	83921	200	361	437	
232	84121	233	81	898	
233	84354	733	53	858	
234	85087	300	102	847	
235	85387	966	43	876	
236	86503	83	433	403	
237	86586	383	349	446	
238	86969	183	749	362	
239	87152	316	944	315	
240	87469	266	713	752	
241	87735	383	530	626	
242	88118	233	341	484	
243	88351	216	539	606	
244	88568	167	812	568	
245	88918	83	682	729	
246	89001	416	697	764	
247	89417	183	554	605	
248	89601	133	797	583	
249	89734	333	820	554	
250	90067	500	953	298	
251	90567	300	650	378	
252	90866	250	321	453	
253	91233	17	701	534	
254	91449	1466	643	399	
255	93082	216	643	382	
256	93298	300	956	299	
257	93598	283	365	455	
258	93881	899	649	386	
259	94780	283	719	401	
260	95064	366	778	408	
261	95430	216	662	504	
262	95647	250	735	604	
263	95896	766	769	632	
264	96663	450	706	581	
265	97112	433	708	389	
266	97545	733	572	396	
267	98278	216	640	389	
268	98495	217	660	142	
269	98711	166	708	145	
270	98878	233	571	151	
271	99111	233	609	153	
272	99344	117	654	151	
273	99627	233	690	151	
274	99860	150	705	376	
275	100010	266	949	296	
276	100277	233	368	448	
277	100510	533	942	301	
278	101043	1133	341	457	
279	102176	200	652	511	
280	102375	500	667	566	
281	102992	949	712	787	
282	103941	233	647	547	
283	104174	949	618	488	
284	105124	116	659	486	
285	105407	50	679	483	
286	105640	883	608	518	
287	106523	200	649	545	
288	106723	633	604	581	
289	107355	516	698	771	
