Data properties:

Recording date: 08/06/2011
Recording time: 12:16:25:000 (corresponds to time 0)
Study: Interacting with the CSP applet
Subject: P68
Recording: Rec 22
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
28	66	183	621	502	
29	249	566	554	487	
30	815	150	1428	688	
31	965	183	433	561	
32	1148	167	622	987	
33	1615	83	574	363	
34	1698	216	612	501	
35	1915	216	605	435	
36	2131	316	543	418	
37	2448	100	747	437	
38	2781	83	1132	1553	
39	2997	167	2732	1741	
40	3164	100	2493	1496	
41	3514	83	1233	1306	
42	4463	83	620	451	
43	4546	1299	583	449	
44	5845	433	593	617	
45	6278	566	560	636	
46	6845	116	553	399	
47	6961	266	542	444	
48	7228	300	619	435	
49	7528	350	347	428	
50	7877	167	748	239	
51	8044	300	953	306	
52	8344	200	1274	361	
53	8543	1699	1267	537	
54	10242	166	1227	945	
55	10409	133	1227	998	
56	10542	250	1275	982	
57	10792	283	601	417	
58	11075	233	657	361	
59	11308	200	941	379	
60	11508	266	697	189	
61	11774	233	604	163	
62	12008	316	672	154	
63	12324	266	709	152	
64	12591	216	564	405	
65	12807	266	238	81	
66	13074	266	133	82	
67	13340	433	71	80	
68	13773	566	163	91	
69	14339	183	78	94	
70	14523	383	658	457	
71	14906	167	781	378	
72	15072	216	932	335	
73	15289	266	634	393	
74	15555	216	143	62	
75	15772	183	49	79	
76	16072	100	859	314	
77	16171	183	934	353	
78	16355	416	626	418	
79	16771	167	707	389	
80	16938	583	942	321	
81	17520	117	534	428	
82	17637	150	545	390	
83	17787	167	69	64	
84	17954	266	168	71	
85	18220	216	126	89	
86	18437	416	279	106	
87	18853	233	569	478	
88	19086	916	621	439	
89	20002	200	179	272	
90	20202	250	48	164	
91	20452	516	64	543	
92	20968	216	99	269	
93	21185	300	124	500	
94	21485	1715	94	567	
95	23200	799	47	120	
96	23999	167	489	369	
97	24166	600	606	419	
98	24766	400	363	499	
99	25165	699	862	473	
100	25865	383	817	583	
101	26248	683	753	727	
102	26931	383	761	592	
103	27314	150	564	663	
104	27464	400	506	680	
105	27864	300	354	484	
106	28163	166	626	410	
107	28330	233	138	241	
108	28563	166	289	376	
109	28730	200	342	474	
110	28930	350	561	663	
111	29279	333	950	342	
112	29612	316	664	165	
113	29929	233	578	158	
114	30162	200	747	169	
115	30362	183	332	424	
116	30545	150	331	477	
117	30695	166	704	197	
118	30862	167	744	167	
119	31028	216	600	150	
120	31245	233	1275	434	
121	31478	433	1271	525	
122	31911	133	871	348	
123	32044	266	952	351	
124	32311	350	716	726	
125	32660	283	320	405	
126	32943	167	419	456	
127	33110	583	643	435	
128	33693	117	508	616	
129	33810	216	507	663	
130	34026	183	364	471	
131	34209	1066	329	440	
132	35275	300	181	93	
133	35575	300	322	444	
134	35875	366	595	515	
135	36241	216	667	505	
136	36458	366	593	557	
137	36824	200	689	532	
138	37024	683	650	519	
139	37707	500	593	597	
140	38207	333	498	488	
141	38540	500	330	441	
142	39039	550	72	64	
143	39589	133	280	104	
144	39722	366	324	451	
145	40089	483	747	337	
146	40572	316	593	439	
147	40888	183	641	679	
148	41071	566	713	742	
149	41637	666	817	497	
150	42304	200	456	420	
151	42504	366	325	452	
152	42870	300	548	425	
153	43170	416	335	443	
154	43586	117	659	359	
155	43703	150	632	388	
156	43853	167	250	882	
157	44019	166	62	869	
158	44186	450	316	435	
159	44635	117	677	340	
160	44752	400	944	303	
161	45152	283	688	750	
162	45435	683	347	436	
163	46118	167	579	507	
164	46284	117	603	552	
165	46401	450	675	551	
166	46851	366	645	532	
167	47217	183	582	606	
168	47400	350	305	458	
169	47750	533	65	105	
170	48283	166	326	524	
171	48450	250	323	480	
172	48699	899	619	418	
173	49599	167	403	484	
174	49765	300	393	520	
175	50065	466	531	647	
176	50531	566	716	746	
177	51098	799	570	464	
178	51897	450	662	178	
179	52347	200	565	471	
180	52547	366	458	579	
181	52913	200	639	161	
182	53113	483	702	168	
183	53596	433	584	154	
184	54029	266	128	142	
185	54296	150	368	428	
186	54446	266	121	946	
187	54712	183	270	449	
188	54895	100	303	419	
189	54995	167	107	237	
190	55162	300	663	172	
191	55461	233	723	169	
192	55695	250	198	79	
193	55944	183	326	98	
194	56128	400	364	105	
195	56527	350	299	112	
196	56877	283	325	521	
197	57160	516	323	466	
198	57677	133	326	282	
199	57810	633	331	433	
200	58443	633	630	525	
201	59076	100	259	253	
202	59176	150	512	453	
203	59325	250	621	589	
204	59575	250	660	593	
205	59825	200	365	487	
206	60025	150	320	471	
207	60175	433	38	81	
208	60608	466	414	559	
209	61074	366	699	394	
210	61441	116	298	429	
211	61557	1233	322	460	
212	62790	316	585	686	
213	63106	200	574	387	
214	63306	150	672	163	
215	63456	166	761	163	
216	63622	283	140	85	
217	63906	366	302	92	
218	64272	216	365	512	
219	64489	117	336	489	
220	64605	150	665	550	
221	64755	167	295	442	
222	64922	466	328	466	
223	65388	133	523	472	
224	65521	350	524	581	
225	65871	583	316	461	
226	66454	183	367	471	
227	66637	200	609	499	
228	66837	1949	645	522	
229	68786	500	576	563	
230	69285	133	620	561	
231	69419	133	599	592	
