Data properties:

Recording date: 21/09/2011
Recording time: 16:19:04:000 (corresponds to time 0)
Study: Interacting with the CSP applet
Subject: P91
Recording: Rec 46
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
22	132	699	536	483	
23	832	283	583	485	
24	1265	117	607	527	
25	1381	316	768	752	
26	1698	233	157	933	
27	1931	250	118	961	
28	2181	266	46	507	
29	2447	899	65	76	
30	3347	300	907	962	
31	3646	183	1053	939	
32	3830	300	565	573	
33	4129	650	530	469	
34	4779	266	577	541	
35	5045	266	575	439	
36	5312	250	637	430	
37	5562	366	128	63	
38	5928	416	31	105	
39	6345	100	367	341	
40	9609	167	573	480	
41	10975	1033	562	466	
42	12007	333	599	468	
43	12340	1232	586	657	
44	13573	283	496	604	
45	13856	217	696	405	
46	14073	749	635	398	
47	14822	400	734	551	
48	15222	550	715	508	
49	15771	250	636	781	
50	16021	100	630	922	
51	17653	233	-402	-299	
52	22167	83	594	493	
53	22250	117	583	530	
54	22367	666	838	518	
55	43503	83	663	440	
56	43586	183	635	415	
57	43769	383	304	108	
58	44152	816	109	93	
59	44969	633	207	93	
60	45602	200	602	483	
61	45801	516	623	433	
62	46318	400	777	548	
63	46717	350	1274	518	
64	47067	316	858	482	
65	47384	1016	1277	524	
66	48550	266	731	387	
67	48816	333	929	317	
68	49149	583	690	696	
69	49732	217	840	379	
70	49949	833	126	92	
71	50781	516	32	102	
72	51298	516	134	100	
73	51814	616	674	425	
74	52430	600	603	176	
75	53030	250	668	175	
76	53280	966	763	403	
77	54246	183	583	410	
78	54429	433	206	62	
79	54862	999	104	45	
80	55861	350	640	176	
81	56211	366	818	437	
82	56578	716	641	677	
83	57294	466	510	620	
84	57760	466	688	779	
85	58227	316	320	490	
86	58543	333	617	407	
87	58876	533	588	168	
88	59409	516	670	170	
89	59925	266	526	196	
90	60192	267	601	192	
91	60458	749	650	193	
92	61208	200	709	192	
93	61408	450	745	191	
94	61857	400	307	494	
95	62257	200	568	681	
96	62457	250	684	732	
97	102080	233	512	582	
98	102314	167	497	621	
99	102480	1549	320	490	
100	104029	799	407	469	
101	104828	167	568	205	
102	104995	400	532	177	
103	105395	266	595	174	
104	105661	483	638	175	
105	106144	616	739	167	
106	106761	117	695	173	
107	106877	666	632	168	
108	107543	1066	710	176	
109	108609	333	591	509	
110	109076	683	555	524	
111	109759	433	548	572	
112	110192	333	1428	1290	
113	110525	533	581	582	
114	111241	450	546	507	
115	111691	266	613	508	
116	111957	250	674	505	
117	112207	400	716	507	
118	112607	500	625	533	
119	113106	533	660	569	
120	113639	3797	623	532	
121	117437	699	587	599	
122	118270	1149	580	527	
123	119419	783	628	529	
124	120202	350	679	527	
125	120551	266	578	612	
126	120818	1016	325	490	
127	121834	266	737	617	
128	122100	266	802	474	
129	122367	600	612	436	
130	122966	233	297	68	
131	123200	183	263	89	
132	123383	1316	94	99	
133	124699	100	108	152	
134	124798	800	98	104	
135	125598	250	574	601	
136	125848	250	497	628	
137	126098	1049	608	482	
138	127147	400	392	539	
139	127547	216	506	685	
140	127763	266	-358	1026	
141	128030	316	520	653	
142	128346	283	877	398	
143	128629	250	107	117	
144	129179	300	810	446	
145	129479	200	630	158	
146	129679	333	596	175	
147	130162	333	495	170	
148	130495	766	618	175	
149	131261	616	577	177	
150	131877	200	707	485	
151	132077	383	623	419	
152	132460	583	589	169	
153	133043	200	627	179	
154	133243	550	687	180	
155	133793	466	644	409	
156	134259	250	568	184	
157	134509	283	531	199	
158	134942	233	573	189	
159	135175	450	625	194	
160	135625	250	667	187	
161	135875	250	715	183	
162	136124	333	-167	1163	
163	136458	283	264	911	
164	136741	533	38	887	
165	137274	233	568	699	
166	137507	316	483	627	
167	137823	1049	324	493	
168	138873	183	639	499	
169	139056	433	620	418	
170	139489	633	588	184	
171	140122	233	640	174	
