Data properties:

Recording date: 17/06/2011
Recording time: 16:15:55:000 (corresponds to time 0)
Study: Interacting with the CSP applet
Subject: P73
Recording: Rec 27
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
20	161	750	524	485	
21	911	433	50	434	
22	1344	600	95	426	
23	1944	1232	566	440	
24	4575	83	602	482	
25	4658	766	560	451	
26	5425	167	593	624	
27	5591	200	569	660	
28	5791	266	555	520	
29	6058	266	612	395	
30	6324	183	548	370	
31	6507	217	510	133	
32	6724	133	642	171	
33	6857	100	692	188	
34	8306	83	395	361	
35	8389	366	61	11	
36	8756	316	50	79	
37	9072	416	157	70	
38	9488	316	283	84	
39	9805	100	245	99	
40	15584	17	654	460	
41	15834	266	551	438	
42	16101	366	608	633	
43	16467	833	551	557	
44	17300	166	572	473	
45	17466	550	633	392	
46	18016	233	944	314	
47	18249	450	591	177	
48	18699	266	638	170	
49	18965	316	694	167	
50	19282	416	568	174	
51	19698	333	622	186	
52	20031	383	687	191	
53	20414	200	617	215	
54	20614	483	576	205	
55	21097	216	660	195	
56	21314	266	701	202	
57	21580	666	57	134	
58	22246	533	129	115	
59	22779	500	516	610	
60	23279	266	371	448	
61	23546	466	544	413	
62	24012	433	111	105	
63	24445	183	369	434	
64	24811	433	326	474	
65	25245	600	636	401	
66	25844	350	607	183	
67	26194	383	633	415	
68	26577	200	580	775	
69	26777	300	726	771	
70	27077	216	552	469	
71	27293	266	593	412	
72	27560	433	368	442	
73	27993	266	498	434	
74	28259	233	397	431	
75	28492	283	501	429	
76	28776	333	465	428	
77	29109	233	350	439	
78	29525	316	464	446	
79	29842	699	333	462	
80	30541	366	475	439	
81	30908	233	87	101	
82	31141	416	34	113	
83	31557	550	110	63	
84	32357	83	70	120	
85	32440	383	33	103	
86	32823	500	120	91	
87	33323	583	54	113	
88	33906	550	107	97	
89	34455	683	101	137	
90	35138	383	684	378	
91	35521	316	906	344	
92	35838	450	619	412	
93	36404	266	718	401	
94	36670	200	660	397	
95	36870	150	647	192	
96	37020	250	608	162	
97	37270	200	798	333	
98	37470	416	935	336	
99	37886	400	627	408	
100	38286	233	640	165	
101	38519	250	598	156	
102	38769	666	670	157	
103	39435	416	589	154	
104	39852	366	46	107	
105	40218	266	201	92	
106	40485	150	138	105	
107	40634	616	736	393	
108	41251	316	622	134	
109	41567	300	685	139	
110	41867	250	645	154	
111	42117	200	736	369	
112	42550	400	949	336	
113	42950	566	636	399	
114	43516	550	942	334	
115	44065	616	658	384	
116	44682	200	548	403	
117	44882	166	654	176	
118	45048	233	612	158	
119	45281	216	78	69	
120	45498	183	31	69	
121	45681	316	610	414	
122	45997	150	547	407	
123	46147	300	337	456	
124	46564	916	619	405	
125	47480	583	327	468	
126	48063	583	531	416	
127	48646	150	619	169	
128	48796	883	670	153	
129	49678	366	609	160	
130	50045	366	383	496	
131	50411	383	526	614	
132	50794	200	595	415	
133	50994	666	333	471	
134	51660	316	864	421	
135	51977	166	528	175	
136	52143	233	640	142	
137	52377	500	129	106	
138	52876	250	804	343	
139	53126	450	650	392	
140	53576	650	849	424	
141	54225	116	628	173	
142	54342	150	628	138	
143	54492	433	677	139	
144	54925	266	845	443	
145	55191	150	825	558	
146	55474	283	820	533	
147	55758	533	682	389	
148	56291	283	649	146	
149	56574	200	612	141	
150	56774	733	680	139	
151	57506	183	816	578	
152	57689	666	827	539	
153	58356	300	662	149	
154	58656	266	606	147	
155	58922	166	726	569	
156	59089	366	704	800	
157	59455	749	524	624	
158	60205	500	660	165	
159	60704	383	315	487	
160	61087	183	525	637	
161	61270	350	691	773	
162	61620	416	531	425	
163	62037	516	513	615	
164	62553	516	422	499	
165	63069	283	612	147	
166	63352	233	679	156	
167	63735	716	618	395	
168	64452	166	625	183	
169	64618	233	595	164	
170	64851	450	630	470	
171	65301	250	281	541	
172	65551	300	69	865	
173	65851	466	140	865	
174	66317	233	66	868	
175	66550	216	452	536	
176	66767	100	-558	544	
177	70048	17	333	456	
178	70198	300	332	473	
179	70498	400	126	85	
180	70897	167	33	78	
181	72929	83	306	1021	
182	73013	133	241	1063	
183	73146	166	16	1047	
184	73596	283	346	361	
185	73879	150	606	376	
186	74028	250	657	367	
187	75711	216	654	363	
188	75927	333	636	162	
189	76260	300	594	168	
190	76560	250	592	449	
191	76810	450	326	484	
192	77260	250	132	59	
193	77509	216	55	40	
194	77726	783	36	83	
195	78509	200	553	399	
196	78709	466	635	410	
197	79175	450	940	334	
198	79625	899	814	563	
199	80707	83	659	552	
200	80791	749	513	619	
201	81540	483	80	843	
202	82023	266	134	852	
203	82290	233	476	528	
204	82523	283	326	472	
205	82806	866	628	397	
206	83672	200	435	508	
207	83872	300	529	604	
208	84172	183	672	173	
209	84355	283	603	164	
210	84638	200	363	461	
211	84838	266	323	464	
212	85104	316	520	594	
213	85421	1133	642	379	
214	86553	350	331	460	
215	86903	550	651	383	
216	87453	300	947	300	
217	87753	167	636	159	
218	87919	233	604	138	
219	88152	283	136	116	
220	88435	366	77	107	
221	88802	1066	130	100	
222	89868	233	602	145	
223	90101	400	670	150	
224	90634	166	671	204	
225	90801	350	133	109	
226	91150	266	277	91	
227	91417	716	353	93	
228	92133	250	122	118	
229	92383	216	85	135	
230	92766	133	668	380	
231	92899	183	629	403	
