label	x	y	start	end	duration
fixation	5.39257438439462	27.283900479475662	1565625324250000.0	1565625324440000.0	190.0
saccade	4.200096800923348	28.03187966346741	1565625325370000.0	1565625325760000.0	390.0
fixation	4.149498499929905	28.085140585899357	1565625325770000.0	1565625326040000.0	270.0
saccade	10.024998337030409	29.9966499209404	1565625326210000.0	1565625326290000.0	80.0
fixation	10.588599851026254	29.122311315115763	1565625326300000.0	1565625326480000.0	180.0
saccade	10.549769178032877	30.28289526700973	1565625326740000.0	1565625326790000.0	50.0
fixation	10.471505316950026	29.84590778748195	1565625326800000.0	1565625327020000.0	220.0
saccade	10.508557781577109	29.10265624523163	1565625327000000.0	1565625327010000.0	10.0
fixation	10.195176893224321	29.155009239912033	1565625327020000.0	1565625327150000.0	130.0
saccade	6.892494112253188	29.106996953487396	1565625327250000.0	1565625327330000.0	80.0
fixation	2.2207050987829766	28.484916786352798	1565625327350000.0	1565625327500000.0	150.0
saccade	2.667889837175608	28.68649661540985	1565625327550000.0	1565625327570000.0	20.0
fixation	3.647125286183187	29.67881551810673	1565625327580000.0	1565625327960000.0	380.0
saccade	3.40816006064415	30.118167400360107	1565625327930000.0	1565625327950000.0	20.0
fixation	3.981114005936044	29.99743925673621	1565625327960000.0	1565625328100000.0	140.0
saccade	8.394952118396759	30.99946677684784	1565625328160000.0	1565625328190000.0	30.0
fixation	8.264876715838911	30.944800483328954	1565625328200000.0	1565625328340000.0	140.0
saccade	4.83408123254776	33.168558776378624	1565625328430000.0	1565625328470000.0	40.0
fixation	5.029908621476756	33.38612655798594	1565625328480000.0	1565625328970000.0	490.0
saccade	6.922302022576332	32.631580531597145	1565625329030000.0	1565625329070000.0	40.0
fixation	7.364824963733554	33.428439870476716	1565625329080000.0	1565625329290000.0	210.0
saccade	9.44196619093418	13.084320724010468	1565625329470000.0	1565625329560000.0	90.0
fixation	9.529462514015343	13.35832906457094	1565625329570000.0	1565625329700000.0	130.0
saccade	10.289788618683817	15.707259625196455	1565625329720000.0	1565625329740000.0	20.0
fixation	10.52734452403254	15.158606072266894	1565625329760000.0	1565625329940000.0	180.0
saccade	9.539456292986868	31.923705339431766	1565625330030000.0	1565625330100000.0	70.0
fixation	9.682881347835064	31.63585476577282	1565625330110000.0	1565625330320000.0	210.0
saccade	8.082181960344316	20.935731381177906	1565625330340000.0	1565625330400000.0	60.0
fixation	9.048063737841751	14.45144174190668	1565625330410000.0	1565625330540000.0	130.0
saccade	8.94043631851673	19.50906664133072	1565625330550000.0	1565625330600000.0	50.0
fixation	9.062344873590131	15.931706024067743	1565625330610000.0	1565625330750000.0	140.0
saccade	6.508176214993	18.28274875879288	1565625330750000.0	1565625330790000.0	40.0
fixation	9.277478290291931	16.35858491063118	1565625330800000.0	1565625330930000.0	130.0
saccade	5.338931456208228	18.94454658031464	1565625330990000.0	1565625331020000.0	30.0
fixation	5.5188802142555895	19.043418593131577	1565625331030000.0	1565625331170000.0	140.0
saccade	5.020670406520368	19.322723150253296	1565625331140000.0	1565625331170000.0	30.0
fixation	3.540891106240452	18.212814349681143	1565625331180000.0	1565625331340000.0	160.0
saccade	6.889218464493752	40.60159772634506	1565625331380000.0	1565625331430000.0	50.0
fixation	6.238860823214054	42.32335202395915	1565625331440000.0	1565625331560000.0	120.0
saccade	6.001035310328008	41.376759111881256	1565625331610000.0	1565625331630000.0	20.0
fixation	5.088883520741212	43.14156794234325	1565625331640000.0	1565625331840000.0	200.0
saccade	9.502938389778137	14.751475304365158	1565625332040000.0	1565625332180000.0	140.0
fixation	9.879229486816461	15.306355555852257	1565625332190000.0	1565625332380000.0	190.0
saccade	6.9030676037073135	41.015174984931946	1565625332480000.0	1565625332530000.0	50.0
fixation	7.16842018927519	41.13602833105968	1565625332540000.0	1565625332680000.0	140.0
saccade	6.235808879137039	43.74566823244095	1565625332790000.0	1565625332830000.0	40.0
fixation	6.412523483427671	44.5106436426823	1565625332840000.0	1565625332970000.0	130.0
saccade	6.419827230274677	44.18020397424698	1565625332950000.0	1565625332960000.0	10.0
fixation	5.9667973934362335	44.08994453648725	1565625332970000.0	1565625333100000.0	130.0
saccade	4.6489281579852095	41.04481041431428	1565625333350000.0	1565625333460000.0	110.0
fixation	4.8896048683673135	41.33572715024153	1565625333470000.0	1565625333600000.0	130.0
saccade	8.597853034734728	43.39919239282608	1565625333840000.0	1565625333960000.0	120.0
fixation	8.639241837792929	43.88495476709472	1565625333970000.0	1565625334160000.0	190.0
saccade	7.796601206064223	42.899395525455475	1565625334140000.0	1565625334160000.0	20.0
fixation	5.541208587013757	40.856271409071404	1565625334170000.0	1565625334310000.0	140.0
saccade	10.828343033790588	42.82693117856979	1565625334350000.0	1565625334430000.0	80.0
fixation	10.213167247948824	40.98394353080679	1565625334440000.0	1565625334730000.0	290.0
saccade	10.088231042027472	41.11039787530899	1565625334770000.0	1565625334800000.0	30.0
fixation	9.995349767533217	41.30195541815324	1565625334810000.0	1565625334920000.0	110.0
saccade	10.231813788414	40.86225032806397	1565625334940000.0	1565625334970000.0	30.0
fixation	10.030620824545624	41.19933644930522	1565625334980000.0	1565625335110000.0	130.0
saccade	10.069157555699347	41.58956706523895	1565625335080000.0	1565625335100000.0	20.0
fixation	11.087726872591743	41.144250688098715	1565625335110000.0	1565625335330000.0	220.0
saccade	11.6518534719944	19.63381767272949	1565625335320000.0	1565625335360000.0	40.0
fixation	12.182372181039106	15.612819555558655	1565625335370000.0	1565625335570000.0	200.0
saccade	11.827773228287695	15.34988060593605	1565625335670000.0	1565625335710000.0	40.0
fixation	11.536320497592289	15.151218324899672	1565625335720000.0	1565625335870000.0	150.0
saccade	11.600830033421516	15.048247575759888	1565625335850000.0	1565625335860000.0	10.0
fixation	9.265491108481699	15.852477172246347	1565625335870000.0	1565625336010000.0	140.0
saccade	3.471149504184723	36.94417327642441	1565625336180000.0	1565625336260000.0	80.0
fixation	3.7610299303196366	40.37676714360714	1565625336270000.0	1565625336440000.0	170.0
saccade	3.599381260573864	40.282140672206886	1565625336460000.0	1565625336480000.0	20.0
fixation	3.5933661438962994	40.117188060984894	1565625336490000.0	1565625336670000.0	180.0
saccade	4.266041330993176	40.03721922636032	1565625336760000.0	1565625336790000.0	30.0
fixation	5.668884515762329	36.78138305743536	1565625336810000.0	1565625336930000.0	120.0
saccade	5.681590549647808	36.80009692907333	1565625336910000.0	1565625336920000.0	10.0
fixation	5.794097381559285	37.41183457049456	1565625336930000.0	1565625337040000.0	110.0
saccade	5.3348178043961525	35.555432736873634	1565625337190000.0	1565625337270000.0	80.0
fixation	5.354899103538347	35.30261029417697	1565625337280000.0	1565625337560000.0	280.0
saccade	8.300914615392685	24.794480949640274	1565625337550000.0	1565625337590000.0	40.0
fixation	9.494735181331636	18.160496652126312	1565625337600000.0	1565625337870000.0	270.0
saccade	9.367192909121512	17.762927711009983	1565625337850000.0	1565625337860000.0	10.0
fixation	9.3581632607513	14.10824784802066	1565625337870000.0	1565625338060000.0	190.0
saccade	22.16164916753769	15.074400603771211	1565625338200000.0	1565625338290000.0	90.0
fixation	21.352830529212948	13.175739627331495	1565625338300000.0	1565625338430000.0	130.0
saccade	21.74905836582184	12.571326270699501	1565625338400000.0	1565625338430000.0	30.0
fixation	23.512320427431003	9.820996080007818	1565625338440000.0	1565625338630000.0	190.0
saccade	25.70074200630188	11.732221394777298	1565625338730000.0	1565625338830000.0	100.0
fixation	22.34030361804697	11.468679602775307	1565625338840000.0	1565625339030000.0	190.0
saccade	24.693678319454193	11.382168903946875	1565625339060000.0	1565625339100000.0	40.0
fixation	24.761422520334072	12.117845768278295	1565625339110000.0	1565625339230000.0	120.0
saccade	22.200068086385727	14.494969695806505	1565625339790000.0	1565625340080000.0	290.0
fixation	21.979647989456467	15.064377337694168	1565625340090000.0	1565625340230000.0	140.0
saccade	22.044675797224045	15.720057487487793	1565625340240000.0	1565625340260000.0	20.0
fixation	21.99946985476547	15.36825911866294	1565625340270000.0	1565625340460000.0	190.0
saccade	55.11842966079712	10.94585619866848	1565625340840000.0	1565625341020000.0	180.0
fixation	55.96720824639003	10.75964542105794	1565625341040000.0	1565625341160000.0	120.0
saccade	46.058444678783424	8.087529987096786	1565625341290000.0	1565625341370000.0	80.0
fixation	46.2554611838781	8.703991054342342	1565625341380000.0	1565625341510000.0	130.0
saccade	46.21398746967316	8.637950569391249	1565625341490000.0	1565625341500000.0	10.0
fixation	46.11006094650789	9.117416664958	1565625341510000.0	1565625341620000.0	110.0
saccade	22.18128889799118	18.8442200422287	1565625341720000.0	1565625341810000.0	90.0
fixation	22.575302151116453	19.01519867506894	1565625341820000.0	1565625341930000.0	110.0
saccade	22.647547721862797	19.73691433668137	1565625341910000.0	1565625341920000.0	10.0
fixation	22.670619376003746	18.630981259047985	1565625341930000.0	1565625342150000.0	220.0
saccade	22.469723969697952	18.10978055000305	1565625342120000.0	1565625342130000.0	10.0
fixation	22.604951610167817	18.75357061624527	1565625342150000.0	1565625342300000.0	150.0
saccade	22.240305691957477	30.21254986524582	1565625342430000.0	1565625342600000.0	170.0
fixation	22.29002323001623	30.192542945345238	1565625342610000.0	1565625342730000.0	120.0
saccade	26.1600524187088	26.00294202566147	1565625342920000.0	1565625343000000.0	80.0
fixation	26.016049273312092	26.456148984531566	1565625343010000.0	1565625343270000.0	260.0
saccade	25.85271149873733	26.91792100667953	1565625343240000.0	1565625343260000.0	20.0
fixation	26.019863486289978	27.029162446657814	1565625343270000.0	1565625343420000.0	150.0
saccade	38.594335317611694	13.80186676979065	1565625343620000.0	1565625343700000.0	80.0
fixation	38.44912350177765	13.47955692220818	1565625343710000.0	1565625343820000.0	110.0
saccade	37.10780143737793	14.602237194776535	1565625343820000.0	1565625343840000.0	20.0
fixation	37.303818855434656	14.01820881292224	1565625343860000.0	1565625344020000.0	160.0
saccade	23.89231696724892	37.490110099315636	1565625344170000.0	1565625344280000.0	110.0
fixation	24.0755682438612	37.411215901374824	1565625344290000.0	1565625344500000.0	210.0
saccade	37.574119865894325	40.79407006502152	1565625344630000.0	1565625344750000.0	120.0
fixation	35.95494465394454	39.69876603646712	1565625344770000.0	1565625344880000.0	110.0
saccade	22.63939455151558	41.21307134628296	1565625345120000.0	1565625345320000.0	200.0
fixation	22.825063249239555	41.168564672653496	1565625345330000.0	1565625345470000.0	140.0
saccade	23.527401685714718	42.1841710805893	1565625345600000.0	1565625345640000.0	40.0
fixation	23.190294541418552	40.33791914582253	1565625345650000.0	1565625345870000.0	220.0
saccade	23.00637811422348	40.611663460731506	1565625345840000.0	1565625345850000.0	10.0
fixation	22.972511686384678	40.508862491697066	1565625345870000.0	1565625346030000.0	160.0
saccade	22.768189013004303	43.14482659101486	1565625346030000.0	1565625346050000.0	20.0
fixation	23.098797972003624	43.96865781810549	1565625346070000.0	1565625346250000.0	180.0
saccade	23.693901300430298	46.09020799398422	1565625346230000.0	1565625346250000.0	20.0
fixation	24.683977787693337	50.671450421214104	1565625346260000.0	1565625346390000.0	130.0
saccade	21.425979584455487	43.68578791618347	1565625346530000.0	1565625346650000.0	120.0
fixation	22.33236146469911	43.727634102106094	1565625346660000.0	1565625346790000.0	130.0
saccade	21.61627858877182	43.08080971240997	1565625346790000.0	1565625346810000.0	20.0
fixation	22.026594608060776	44.32350762428776	1565625346820000.0	1565625347150000.0	330.0
saccade	22.160939872264862	44.4851815700531	1565625347160000.0	1565625347190000.0	30.0
fixation	22.15458216766516	44.34677759806314	1565625347200000.0	1565625347320000.0	120.0
saccade	23.27499836683273	52.91554629802704	1565625347530000.0	1565625347640000.0	110.0
fixation	23.21789519240459	52.65964294473329	1565625347650000.0	1565625347770000.0	120.0
saccade	56.04818761348725	37.918108701705926	1565625347920000.0	1565625348050000.0	130.0
fixation	56.56039600188915	37.52069542041192	1565625348060000.0	1565625348200000.0	140.0
saccade	54.95687127113342	38.578927516937256	1565625348260000.0	1565625348300000.0	40.0
fixation	55.23927532709561	38.864893638170685	1565625348310000.0	1565625348440000.0	130.0
saccade	52.73076295852661	11.57861016690731	1565625348560000.0	1565625348690000.0	130.0
fixation	50.693697730700165	9.63693174223105	1565625348700000.0	1565625348890000.0	190.0
saccade	51.15358829498291	11.442245543003082	1565625348920000.0	1565625348950000.0	30.0
fixation	52.62006372213364	12.716204542666675	1565625348960000.0	1565625349170000.0	210.0
saccade	54.83343899250031	16.286084055900574	1565625349200000.0	1565625349240000.0	40.0
fixation	54.64278622107072	17.525516247207467	1565625349250000.0	1565625349360000.0	110.0
saccade	53.970494866371155	32.471160590648644	1565625349550000.0	1565625349650000.0	100.0
fixation	53.824809422859786	31.78266023214047	1565625349660000.0	1565625349800000.0	140.0
saccade	54.22264933586121	65.64131677150725	1565625350050000.0	1565625350250000.0	200.0
fixation	54.078864057858794	65.36586061120033	1565625350260000.0	1565625350380000.0	120.0
saccade	54.17192578315735	79.20710742473601	1565625350470000.0	1565625350540000.0	70.0
fixation	53.88877662745389	79.11483509974046	1565625350550000.0	1565625350780000.0	230.0
saccade	54.93995249271393	77.65152156352997	1565625350820000.0	1565625350850000.0	30.0
fixation	56.655763662778405	77.3604154586792	1565625350860000.0	1565625350990000.0	130.0
saccade	21.26586362719536	77.69825458526611	1565625351350000.0	1565625351610000.0	260.0
fixation	21.46150381727652	77.50113755464555	1565625351620000.0	1565625351850000.0	230.0
saccade	22.369467467069626	53.91373932361603	1565625352180000.0	1565625352310000.0	130.0
fixation	23.085903173143212	52.846735444935895	1565625352320000.0	1565625352430000.0	110.0
saccade	9.40004587173462	11.430089548230171	1565625352630000.0	1565625352730000.0	100.0
fixation	9.636561741883105	11.969130249185994	1565625352740000.0	1565625352850000.0	110.0
saccade	9.891052171587942	12.215618789196016	1565625352830000.0	1565625352840000.0	10.0
fixation	9.660065004771406	12.480668757449493	1565625352850000.0	1565625352970000.0	120.0
saccade	28.79336625337601	15.790928900241852	1565625353310000.0	1565625353440000.0	130.0
fixation	28.319705557078123	15.349371591582894	1565625353450000.0	1565625353620000.0	170.0
saccade	53.258857131004326	14.224351197481155	1565625354010000.0	1565625354210000.0	200.0
fixation	53.4093697156225	14.592165180615016	1565625354220000.0	1565625354360000.0	140.0
saccade	13.966050744056703	19.523894041776657	1565625354920000.0	1565625355370000.0	450.0
fixation	11.846159671743713	18.29689135154088	1565625355390000.0	1565625355540000.0	150.0
saccade	11.937575787305832	17.403507977724075	1565625355560000.0	1565625355590000.0	30.0
fixation	11.664835092696276	17.722310329025444	1565625355600000.0	1565625355710000.0	110.0
saccade	11.794668808579445	17.914297431707382	1565625355690000.0	1565625355700000.0	10.0
fixation	11.59683996095107	18.058324662538677	1565625355710000.0	1565625355840000.0	130.0
saccade	4.947221279144287	34.622606635093696	1565625356100000.0	1565625356240000.0	140.0
fixation	5.256321746855973	34.888891296254265	1565625356250000.0	1565625356440000.0	190.0
saccade	5.815396271646023	35.61276346445084	1565625356420000.0	1565625356440000.0	20.0
fixation	6.02739964146167	37.91464772075415	1565625356450000.0	1565625356880000.0	430.0
saccade	13.677708804607393	20.104005187749863	1565625356940000.0	1565625357010000.0	70.0
fixation	13.517700818677746	20.3683577477932	1565625357020000.0	1565625357140000.0	120.0
saccade	9.233832731842996	31.44616037607193	1565625357310000.0	1565625357370000.0	60.0
fixation	5.0451904027299435	29.930682886730537	1565625357380000.0	1565625357620000.0	240.0
saccade	8.99769626557827	24.731720238924023	1565625357610000.0	1565625357640000.0	30.0
fixation	11.616543104702776	18.265797875144266	1565625357650000.0	1565625357760000.0	110.0
saccade	11.498034745454788	17.862144857645035	1565625357780000.0	1565625357810000.0	30.0
fixation	11.300402617564908	14.717178929735113	1565625357820000.0	1565625358110000.0	290.0
saccade	11.49091087281704	15.795913338661196	1565625358110000.0	1565625358150000.0	40.0
fixation	11.132432413952689	15.363589887108118	1565625358160000.0	1565625358310000.0	150.0
saccade	7.870354503393173	33.166331052780144	1565625358490000.0	1565625358590000.0	100.0
fixation	7.818372003160991	32.48378898088749	1565625358610000.0	1565625358740000.0	130.0
saccade	8.365865796804428	32.81867057085037	1565625358720000.0	1565625358740000.0	20.0
fixation	9.24699624118052	34.16605505504106	1565625358750000.0	1565625358950000.0	200.0
saccade	8.500333875417711	34.09367948770523	1565625359020000.0	1565625359060000.0	40.0
fixation	8.97659347815947	34.423143755305894	1565625359070000.0	1565625359180000.0	110.0
saccade	11.684158816933632	15.84818810224533	1565625359180000.0	1565625359240000.0	60.0
fixation	12.161865005535741	14.926927749599725	1565625359250000.0	1565625359390000.0	140.0
saccade	9.962783753871918	33.691203594207764	1565625359380000.0	1565625359430000.0	50.0
fixation	10.11458265462092	34.888519240277155	1565625359440000.0	1565625359580000.0	140.0
saccade	10.467110201716425	35.163378715515144	1565625359740000.0	1565625359780000.0	40.0
fixation	10.181221862634024	34.92068871855736	1565625359790000.0	1565625359920000.0	130.0
saccade	6.916394457221031	42.50989556312561	1565625359990000.0	1565625360050000.0	60.0
fixation	6.880287134221621	42.369038079466144	1565625360060000.0	1565625360200000.0	140.0
saccade	6.050809472799301	43.05883198976517	1565625360200000.0	1565625360240000.0	40.0
fixation	4.1359814027181026	44.31780794492135	1565625360250000.0	1565625360380000.0	130.0
saccade	22.95835390686989	22.89370894432068	1565625360470000.0	1565625360590000.0	120.0
fixation	22.84024008191549	22.581657308798572	1565625360600000.0	1565625360740000.0	140.0
saccade	22.172819823026657	13.7846939265728	1565625360730000.0	1565625360760000.0	30.0
fixation	22.267358217920574	12.59606515190431	1565625360770000.0	1565625360910000.0	140.0
saccade	21.352402865886692	11.039058119058607	1565625361060000.0	1565625361140000.0	80.0
fixation	21.57353100023771	11.833778631530311	1565625361150000.0	1565625361350000.0	200.0
saccade	53.70403826236725	28.507426381111145	1565625361760000.0	1565625361990000.0	230.0
fixation	52.50809022358486	27.669018826314378	1565625362000000.0	1565625362150000.0	150.0
saccade	26.443523168563843	25.373755395412445	1565625362940000.0	1565625363190000.0	250.0
fixation	27.05990461011727	26.204154454171658	1565625363200000.0	1565625363320000.0	120.0
saccade	23.06002900004387	38.83469551801681	1565625363430000.0	1565625363490000.0	60.0
fixation	22.961546751585875	40.117675878784866	1565625363500000.0	1565625363610000.0	110.0
saccade	27.319703996181488	41.51836931705475	1565625363660000.0	1565625363730000.0	70.0
fixation	26.314752606245182	39.11834840591137	1565625363750000.0	1565625363880000.0	130.0
saccade	24.604784697294235	41.40764027833938	1565625363870000.0	1565625363900000.0	30.0
fixation	22.63213545084	43.79143623205331	1565625363910000.0	1565625364050000.0	140.0
saccade	22.5801520049572	43.462152779102325	1565625364020000.0	1565625364030000.0	10.0
fixation	22.53779328682206	43.149496885863215	1565625364050000.0	1565625364160000.0	110.0
saccade	22.487786412239075	43.1851789355278	1565625364130000.0	1565625364150000.0	20.0
fixation	22.60226750125487	42.90114641189575	1565625364160000.0	1565625364280000.0	120.0
saccade	22.52105697989464	43.96064281463623	1565625364320000.0	1565625364350000.0	30.0
fixation	22.6729423485019	44.23215971751647	1565625364360000.0	1565625364470000.0	110.0
saccade	30.59054911136627	39.43217992782593	1565625364560000.0	1565625364670000.0	110.0
fixation	36.549968069249935	37.87364025007594	1565625364680000.0	1565625364790000.0	110.0
saccade	22.059569507837296	53.46822440624237	1565625365260000.0	1565625365440000.0	180.0
fixation	22.195505964405395	53.56939470066744	1565625365460000.0	1565625365630000.0	170.0
saccade	24.913905560970306	53.2380610704422	1565625365790000.0	1565625365870000.0	80.0
fixation	24.87446551139539	52.92846789726844	1565625365880000.0	1565625366010000.0	130.0
saccade	25.93000829219818	53.63439917564392	1565625366030000.0	1565625366070000.0	40.0
fixation	28.56247469230934	52.487783741067965	1565625366080000.0	1565625366370000.0	290.0
saccade	36.92684769630432	51.418504118919365	1565625366470000.0	1565625366530000.0	60.0
fixation	36.82701071867576	51.75421604743371	1565625366540000.0	1565625366680000.0	140.0
saccade	21.558944135904312	55.63570261001587	1565625366720000.0	1565625366770000.0	50.0
