Sc_id	abspathanglesrate	blinkdurationmax	blinkdurationmean	blinkdurationmin	blinkdurationstd	blinkdurationtotal	blinknum	blinkrate	blinktimedistancemax	blinktimedistancemean	blinktimedistancemin	blinktimedistancestd	doubleclicrate	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	keypressedrate	leftclicrate	length	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numdoubleclic	numevents	numfixations	numkeypressed	numleftclic	numrightclic	numsaccades	numsamples	numsegments	relpathanglesrate	rightclicrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration	timetofirstdoubleclic	timetofirstkeypressed	timetofirstleftclic	timetofirstrightclic	Viz_doubleclicrate	Viz_enddistance	Viz_endpupilsize	Viz_fixationrate	Viz_leftclicrate	Viz_longestfixation	Viz_maxdistance	Viz_maxpupilsize	Viz_maxpupilvelocity	Viz_meandistance	Viz_meanfixationduration	Viz_meanpupilsize	Viz_meanpupilvelocity	Viz_mindistance	Viz_minpupilsize	Viz_minpupilvelocity	Viz_numdoubleclic	Viz_numevents	Viz_numfixations	Viz_numleftclic	Viz_numrightclic	Viz_numtransfrom_Bars	Viz_numtransfrom_Refs	Viz_numtransfrom_Text	Viz_numtransfrom_Viz	Viz_proportionnum	Viz_proportiontime	Viz_proptransfrom_Bars	Viz_proptransfrom_Refs	Viz_proptransfrom_Text	Viz_proptransfrom_Viz	Viz_rightclicrate	Viz_startdistance	Viz_startpupilsize	Viz_stddevdistance	Viz_stddevfixationduration	Viz_stddevpupilsize	Viz_stddevpupilvelocity	Viz_timetofirstdoubleclic	Viz_timetofirstfixation	Viz_timetofirstleftclic	Viz_timetofirstrightclic	Viz_timetolastdoubleclic	Viz_timetolastfixation	Viz_timetolastleftclic	Viz_timetolastrightclic	Viz_totaltimespent	Text_doubleclicrate	Text_enddistance	Text_endpupilsize	Text_fixationrate	Text_leftclicrate	Text_longestfixation	Text_maxdistance	Text_maxpupilsize	Text_maxpupilvelocity	Text_meandistance	Text_meanfixationduration	Text_meanpupilsize	Text_meanpupilvelocity	Text_mindistance	Text_minpupilsize	Text_minpupilvelocity	Text_numdoubleclic	Text_numevents	Text_numfixations	Text_numleftclic	Text_numrightclic	Text_numtransfrom_Bars	Text_numtransfrom_Refs	Text_numtransfrom_Text	Text_numtransfrom_Viz	Text_proportionnum	Text_proportiontime	Text_proptransfrom_Bars	Text_proptransfrom_Refs	Text_proptransfrom_Text	Text_proptransfrom_Viz	Text_rightclicrate	Text_startdistance	Text_startpupilsize	Text_stddevdistance	Text_stddevfixationduration	Text_stddevpupilsize	Text_stddevpupilvelocity	Text_timetofirstdoubleclic	Text_timetofirstfixation	Text_timetofirstleftclic	Text_timetofirstrightclic	Text_timetolastdoubleclic	Text_timetolastfixation	Text_timetolastleftclic	Text_timetolastrightclic	Text_totaltimespent	Refs_doubleclicrate	Refs_enddistance	Refs_endpupilsize	Refs_fixationrate	Refs_leftclicrate	Refs_longestfixation	Refs_maxdistance	Refs_maxpupilsize	Refs_maxpupilvelocity	Refs_meandistance	Refs_meanfixationduration	Refs_meanpupilsize	Refs_meanpupilvelocity	Refs_mindistance	Refs_minpupilsize	Refs_minpupilvelocity	Refs_numdoubleclic	Refs_numevents	Refs_numfixations	Refs_numleftclic	Refs_numrightclic	Refs_numtransfrom_Bars	Refs_numtransfrom_Refs	Refs_numtransfrom_Text	Refs_numtransfrom_Viz	Refs_proportionnum	Refs_proportiontime	Refs_proptransfrom_Bars	Refs_proptransfrom_Refs	Refs_proptransfrom_Text	Refs_proptransfrom_Viz	Refs_rightclicrate	Refs_startdistance	Refs_startpupilsize	Refs_stddevdistance	Refs_stddevfixationduration	Refs_stddevpupilsize	Refs_stddevpupilvelocity	Refs_timetofirstdoubleclic	Refs_timetofirstfixation	Refs_timetofirstleftclic	Refs_timetofirstrightclic	Refs_timetolastdoubleclic	Refs_timetolastfixation	Refs_timetolastleftclic	Refs_timetolastrightclic	Refs_totaltimespent	Bars_doubleclicrate	Bars_enddistance	Bars_endpupilsize	Bars_fixationrate	Bars_leftclicrate	Bars_longestfixation	Bars_maxdistance	Bars_maxpupilsize	Bars_maxpupilvelocity	Bars_meandistance	Bars_meanfixationduration	Bars_meanpupilsize	Bars_meanpupilvelocity	Bars_mindistance	Bars_minpupilsize	Bars_minpupilvelocity	Bars_numdoubleclic	Bars_numevents	Bars_numfixations	Bars_numleftclic	Bars_numrightclic	Bars_numtransfrom_Bars	Bars_numtransfrom_Refs	Bars_numtransfrom_Text	Bars_numtransfrom_Viz	Bars_proportionnum	Bars_proportiontime	Bars_proptransfrom_Bars	Bars_proptransfrom_Refs	Bars_proptransfrom_Text	Bars_proptransfrom_Viz	Bars_rightclicrate	Bars_startdistance	Bars_startpupilsize	Bars_stddevdistance	Bars_stddevfixationduration	Bars_stddevpupilsize	Bars_stddevpupilvelocity	Bars_timetofirstdoubleclic	Bars_timetofirstfixation	Bars_timetofirstleftclic	Bars_timetofirstrightclic	Bars_timetolastdoubleclic	Bars_timetolastfixation	Bars_timetolastleftclic	Bars_timetolastrightclic	Bars_totaltimespent
80_allsc	0.00457342058911	275	173.421052632	100	34.1341614434	9885	57	0.000204596603696	6396	2364.84362991	234	1647.6837086	0.0	613.88	3.32	0.532664469059	0.00433960164682	8.12105352159	0.0	3.58941409994e-06	314913	694.899490665	100.0	623.06	3.615	0.05625	10.5521288298	1.06711997979	554.969148776	191.902398677	124.287037761	3.05066185084	0.00174948975557	1.66132060355	133.208271458	38.8625954198	2.97589921411	464.71	2.05	0.0	0.916448994783	0	1	1209	0	1	0	786	37831	15	0.00703057459911	0.0	592.24	3.16	1.28756488557	39.4180598387	97.744524766	126.598481192	0.132948763427	0.00181940731358	1.30365919173	126.909214287	14.7883221403	1.65950479776	1274.14125586	232010	148398.723086	1958.69699159	104701.701366	30546.0	-1	-1	-1	-1	0.0	613.88	3.32	0.00477971737323	0.0	991	623.06	3.47	0.035	579.276001663	209	3.11724958164	0.00184244875189	500.79	2.05	0.0	0	0	138	0	0	11	4	21	101	0.114143920596	0.0916824646807	0.0802919708029	0.029197080292	0.153284671533	0.737226277372	0.0	592.24	3.16	37.9972809438	nan	0.143510157607	0.00188105536046	-1	-1	-1	-1	-1	1283877	-1	-1	28872	0.0	612.99	3.195	0.00532696664549	0.0	666	622.97	3.615	0.0233333333333	557.774417932	187	3.04814312167	0.00172139828549	464.71	2.57	0.0	0	0	830	0	0	3	98	697	17	0.686517783292	0.494774747311	0.00368098159509	0.120245398773	0.855214723926	0.0208588957055	0.0	591.68	3.365	38.5243004164	91.2530978373	0.131694833514	0.0017317253949	-1	875	-1	-1	-1	1282003	-1	-1	155811	0.0	592.8	2.975	0.00517034668798	0.0	749	594.65	3.42	0.0275	538.000941176	193	3.00355529872	0.00169868433269	492.68	2.61	0.0	0	0	207	0	0	1	97	104	3	0.171215880893	0.127133525767	0.00487804878049	0.473170731707	0.507317073171	0.0146341463415	0.0	591.52	3.375	36.6726711953	90.2122900804	0.102563086429	0.00176343382954	-1	3023	-1	-1	-1	1157606	-1	-1	40036	0.0	613.06	3.215	0.00446871896723	0.0	458	616.89	3.465	0.01375	573.562037037	223	3.13816889632	0.00203973746361	-1	-1	-1	0	0	18	0	0	3	1	2	12	0.014888337469	0.0127908342939	0.166666666667	0.0555555555556	0.111111111111	0.666666666667	0.0	-1	-1	49.213235792	nan	0.152510921384	0.00191346520489	-1	-1	-1	-1	-1	1278864	-1	-1	4028
11	0.00382229237238	242	176.8	142	43.1184415303	884	5	0.000249887550602	5513	3863.75	3264	1100.60267581	0.0	539.11	3.09	0.414944651969	0.00394822329952	6.20138131589	0.0	0.0	20994	443.245276304	67.0	542.53	3.25	0.016875	7.04148495582	0.980516001012	539.242172097	215.949367089	106.443942837	2.98202123231	0.00107138283506	1.96725838661	124.741452401	38.7464788732	2.78823400928	533.34	2.765	0.0	1.0537645805	0	0	79	0	0	0	71	2522	1	0.00757053804634	0.0	537.13	3.08	1.28717448721	0.767069661154	98.6805125508	101.026586999	0.0919014781244	0.000999369435756	1.30873085298	113.316822634	12.5444561573	1.59964882327	76.4802480789	17060	8302.62754125	151.478895769	8856.64312044	2751.0	-1	-1	-1	-1	0.0	539.11	3.09	0.00471698113208	0.0	383	542.53	3.25	0.005	539.332736156	212.0	3.0683713355	0.000904162052418	537.07	2.82	0.0	0	0	11	0	0	0	0	1	10	0.139240506329	0.116547553601	0.0	0.0	0.0909090909091	0.909090909091	0.0	538.87	2.94	0.689238240181	69.2661533507	0.126404988574	0.000800067918432	-1	17954	-1	-1	-1	20361	-1	-1	2332	0.0	539.17	2.94	0.00456092087164	0.0	516	541.45	3.19	0.0125	539.239343904	219.253968254	2.96913398693	0.00107992576366	533.34	2.765	0.0	0	0	63	0	0	0	5	57	0	0.79746835443	0.690339347294	0.0	0.0806451612903	0.91935483871	0.0	0.0	537.86	3.06	0.761737839732	106.356820042	0.0773677056286	0.000956106598698	-1	258	-1	-1	-1	17738	-1	-1	13813	0.0	538.11	2.98	0.00546448087432	0.0	216	540.56	3.14	0.00833333333333	539.384545455	183.0	2.95381909548	0.00116206030151	534.92	2.775	0.0	0	0	5	0	0	0	0	5	0	0.0632911392405	0.0457294217602	0.0	0.0	1.0	0.0	0.0	536.55	3.06	0.685239996828	31.448370387	0.0829520820495	0.00104235485617	-1	3864	-1	-1	-1	9044	-1	-1	915	0.0	539.44	3.07	0	0.0	-1	539.44	3.085	0.00166666666667	539.39	-1	3.0775	0.00145833333333	539.34	3.07	0.00125	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	539.34	3.085	0.0707106781187	0	0.0106066017178	0.000294627825494	-1	-1	-1	-1	-1	-1	-1	-1	0
27	0.00514597456556	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	0.0	-1	3.02	0.507213075485	0.00468664850136	11.6470131885	0.0	5.44959128065e-05	20993	501.260899857	76.0	-1	3.42	0.0142857142857	7.08114631004	1.11092509739	-1	174.569767442	109.498352178	3.00408675799	0.00234417367395	1.51185790151	116.512939472	35.8055555556	2.87373816291	-1	2.67	0.0	1.39994058078	0	1	86	0	1	0	36	2522	1	0.00692076641562	0.0	-1	3.25	1.29738971871	-1	74.0631750519	113.202642993	0.114840592074	0.0020566412434	1.2450933836	111.44381098	15.14844536	1.3847586459	94.4286332781	15013	9307.35993516	126.996063727	4194.465821	1289.0	-1	-1	662768	-1	0.0	-1	3.04	0.008	0.0	125	-1	3.26	0.0075	-1	125.0	3.17095238095	0.0026029856387	-1	3.0	0.0	0	0	1	0	0	0	0	0	0	0.0116279069767	0.00681198910082	0	0	0	0	0.0	-1	3.25	-1	0	0.0789243157655	0.00232323917865	-1	16	-1	-1	-1	16	-1	-1	125	0.0	-1	2.98	0.00569898972455	0.0	383	-1	3.41	0.0142857142857	-1	175.46969697	2.99808788599	0.00229260234179	-1	2.67	0.0	0	0	66	0	0	0	10	54	1	0.767441860465	0.631117166213	0.0	0.153846153846	0.830769230769	0.0153846153846	0.0	-1	3.27	-1	76.656520561	0.109327450259	0.0019829935186	-1	200	-1	-1	-1	20702	-1	-1	11581	0.0	-1	3.02	0.00541401273885	0.0	316	-1	3.37	0.0125	-1	184.705882353	2.99142222222	0.00255339020854	-1	2.78	0.0	0	0	17	0	0	0	7	10	0	0.197674418605	0.171117166213	0.0	0.411764705882	0.588235294118	0.0	0.0	-1	3.29	-1	62.9044560285	0.0852964146195	0.00228114232901	-1	5554	-1	-1	-1	20510	-1	-1	3140	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
20	0.00439991778852	275	183.222222222	117	47.3650128728	1649	9	0.000488519785051	5561	2134.75	234	1721.89826728	0.0	501.78	3.04	0.458866029399	0.00439667806546	6.82942708333	0.0	0.0	21000	434.767102059	67.0	506.49	3.22	0.014375	6.85639439753	1.01324606772	501.283595455	194.259259259	105.671110745	2.99365115228	0.00129981043021	1.78027760703	106.119729063	38.4	2.46632957792	488.03	2.805	0.0	0.916448994783	0	0	81	0	0	0	60	2523	1	0.0076340406533	0.0	501.59	2.82	1.28774028788	1.63815661604	89.2973652716	101.659602541	0.0629316870709	0.00126997348685	1.31863155097	94.2303544153	11.6578336215	1.37275664603	81.059685418	15735	8453.68885961	140.641930956	6367.18374378	2304.0	-1	-1	-1	-1	0.0	501.78	2.99	0.00584795321637	0.0	175	506.49	3.025	0.005625	502.452926829	171.0	2.96097560976	0.00177706552707	500.79	2.895	0.0	0	0	2	0	0	1	1	0	0	0.0246913580247	0.0185637518319	0.5	0.5	0.0	0.0	0.0	502.66	2.915	0.893944192616	5.65685424949	0.031843749626	0.00153736012982	-1	5372	-1	-1	-1	6554	-1	-1	342	0.0	503.25	3.005	0.00513046027558	0.0	416	506.24	3.175	0.0133333333333	501.322099276	194.914285714	2.99901647786	0.00131796058879	488.03	2.81	0.0	0	0	35	0	0	0	16	17	1	0.432098765432	0.370297997069	0.0	0.470588235294	0.5	0.0294117647059	0.0	501.48	2.905	1.68515901605	90.7632250706	0.0645838042348	0.00125122813143	-1	325	-1	-1	-1	20176	-1	-1	6822	0.0	501.78	3.04	0.0051263710062	0.0	575	506.02	3.22	0.014375	501.198504837	195.069767442	2.99356457243	0.00125352164887	492.68	2.805	0.0	0	0	43	0	0	0	24	18	1	0.530864197531	0.455300439668	0.0	0.558139534884	0.418604651163	0.0232558139535	0.0	501.62	2.91	1.6371619257	92.1369052135	0.0592490393609	0.00127303570702	-1	658	-1	-1	-1	20434	-1	-1	8388	0.0	501.93	3.01	0.00546448087432	0.0	183	502.1	3.025	0.00388888888889	501.695	183.0	2.99625	0.00146180555556	499.48	2.965	0.0	0	0	1	0	0	0	1	0	0	0.0123456790123	0.00993323562938	0.0	1.0	0.0	0.0	0.0	502.1	3.005	0.754359261053	0	0.0159666593415	0.00110250573891	-1	6338	-1	-1	-1	6338	-1	-1	183
18	0.00354143052958	192	168.625	133	22.7968512863	1349	8	0.000432222162191	6279	2348.42857143	467	2295.68282196	0.0	593.4	3.04	0.420546274547	0.00383597168945	7.86160714286	0.0	0.0	20994	419.551289447	67.0	609.06	3.385	0.021875	6.9280593304	0.936404823884	590.786152615	223.225352113	111.198442794	3.07216704289	0.00144083304128	1.82269036623	123.238364765	38.7692307692	2.83614206898	495.69	2.82	0.0	1.46340130466	0	0	71	0	0	0	52	2522	1	0.00679483685071	0.0	600.3	3.19	1.26559074388	12.819561196	110.958189961	112.877864122	0.118366628001	0.00154977139916	1.35080580826	105.474098008	12.0140691783	1.46734683207	65.5483376719	15849	7783.89099559	125.76563527	6408.39496775	2016.0	-1	-1	-1	-1	0.0	593.4	3.04	0.00655021834061	0.0	183	597.89	3.08	0.004375	592.506818182	152.666666667	3.00708955224	0.0013412106136	586.38	2.86	0.0	0	0	3	0	0	0	0	1	2	0.0422535211268	0.0247447187855	0.0	0.0	0.333333333333	0.666666666667	0.0	586.38	2.965	1.53879389242	33.3216646243	0.0422577700739	0.00107305466511	-1	20427	-1	-1	-1	20860	-1	-1	458	0.0	586.41	2.945	0.00447362724583	0.0	600	609.06	3.385	0.021875	590.478858195	223.532258065	3.08427370031	0.00144010165169	495.69	2.82	0.0	0	0	62	0	0	0	3	58	0	0.87323943662	0.748770868226	0.0	0.0491803278689	0.950819672131	0.0	0.0	600.3	3.19	13.7190090078	115.815245428	0.11887259371	0.00160017251157	-1	274	-1	-1	-1	20111	-1	-1	13859	0.0	592.8	2.975	0.00391644908616	0.0	341	594.05	3.2	0.005	592.952155689	255.333333333	2.96352601156	0.00149628552972	592.23	2.87	0.0	0	0	6	0	0	0	3	3	0	0.0845070422535	0.0827705440596	0.0	0.5	0.5	0.0	0.0	592.9	3.2	0.310458502282	63.6699824616	0.054886200078	0.00110911212405	-1	16913	-1	-1	-1	19828	-1	-1	1532	0.0	593.3	3.05	0	0.0	-1	593.3	3.055	0.001875	591.4925	-1	3.0	0.00138888888889	586.35	2.87	0.000555555555556	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	586.35	2.98	3.42905599254	0	0.0788194138522	0.000628846190148	-1	-1	-1	-1	-1	-1	-1	-1	0
30	0.0043951242895	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	0.0	-1	3.09	0.442935340323	0.00381380283162	11.0388619015	0.0	0.0	20994	582.594455131	83.0	-1	3.29	0.05625	8.62719406773	1.16843158368	-1	217.904109589	117.753129849	3.05647551831	0.00234605754695	1.58064818806	125.307297464	37.9210526316	2.7807327915	-1	2.05	0.0	1.24253562504	0	0	73	0	0	0	38	2522	1	0.00586312216459	0.0	-1	3.08	1.28210598772	-1	150.907363452	134.933078331	0.122696137612	0.00236228684363	1.32303044135	140.236644976	17.3491670942	1.62826718756	84.1270740253	15907	8478.22534913	112.226021352	4761.67730362	1441.0	-1	-1	-1	-1	0.0	-1	3.09	0.00323886639676	0.0	991	-1	3.27	0.01125	-1	308.75	3.14418670438	0.00215863800769	-1	2.05	0.0	0	0	16	0	0	4	1	1	10	0.219178082192	0.258084739564	0.25	0.0625	0.0625	0.625	0.0	-1	2.05	-1	263.2991961	0.085668570096	0.00182826376926	-1	7045	-1	-1	-1	19503	-1	-1	4940	0.0	-1	3.08	0.0058416270013	0.0	350	-1	3.2	0.0175	-1	171.185185185	3.0070249017	0.0024390395958	-1	2.73	0.0	0	0	27	0	0	0	10	16	0	0.369863013699	0.241471187503	0.0	0.384615384615	0.615384615385	0.0	0.0	-1	3.08	-1	72.0987768151	0.0901511309591	0.00218094424261	-1	291	-1	-1	-1	12225	-1	-1	4622	0.0	-1	3.09	0.00531529354917	0.0	375	-1	3.22	0.01375	-1	188.136363636	2.97173112339	0.00232173440988	-1	2.71	0.0	0	0	22	0	0	1	10	10	1	0.301369863014	0.216237396165	0.0454545454545	0.454545454545	0.454545454545	0.0454545454545	0.0	-1	2.99	-1	72.1415905765	0.122602263543	0.00196816406792	-1	2757	-1	-1	-1	20811	-1	-1	4139	0.0	-1	3.07	0.00328484279681	0.0	458	-1	3.29	0.01375	-1	304.428571429	3.15538116592	0.00229760050438	-1	2.98	0.0	0	0	7	0	0	2	0	0	5	0.0958904109589	0.111331696359	0.285714285714	0.0	0.0	0.714285714286	0.0	-1	3.07	-1	109.554943815	0.0665136510034	0.00211656964849	-1	13191	-1	-1	-1	19936	-1	-1	2131
28	0.00452025904931	191	145.5	100	64.346717088	291	2	0.000104882269652	1041	1041.0	1041	0.0	0.0	574.62	2.93	0.479077717917	0.00414284965127	8.12758446798	0.0	0.0	20993	525.585704771	83.0	574.62	3.35	0.0275	6.68706709702	1.10508743348	544.43602537	204.012658228	117.122217987	3.0708428446	0.00192598848849	1.60557545908	126.7793889	38.1346153846	2.84973570912	531.41	2.74	0.0	0.975898729176	0	0	79	0	0	0	52	2522	1	0.00648326133247	0.0	539.91	3.01	1.31314860146	11.7211998944	111.355689488	118.429118052	0.129296654366	0.00187750902094	1.32785524348	122.220966884	15.1489711631	1.46944985205	86.1968198113	16117	9135.53300296	123.629310349	6592.52822278	1983.0	-1	-1	-1	-1	0.0	-1	2.93	0.00409836065574	0.0	633	-1	3.35	0.02	-1	244.0	3.04738056013	0.00208356833991	-1	2.75	0.0	0	0	19	0	0	2	1	2	14	0.240506329114	0.243117101054	0.105263157895	0.0526315789474	0.105263157895	0.736842105263	0.0	-1	2.9	-1	141.361239383	0.136177998753	0.00188832277911	-1	11716	-1	-1	-1	20352	-1	-1	4636	0.0	574.62	3.08	0.00555951532431	0.0	408	574.62	3.35	0.0125	547.594183007	179.871794872	3.08346332405	0.00185029828486	531.41	2.8	0.0	0	0	39	0	0	1	8	28	1	0.493670886076	0.367874560805	0.0263157894737	0.210526315789	0.736842105263	0.0263157894737	0.0	540.53	2.985	12.8894153355	81.7960169816	0.126970826938	0.00171249537638	-1	857	-1	-1	-1	19186	-1	-1	7015	0.0	567.38	3.09	0.00477796514896	0.0	600	567.38	3.33	0.0275	537.828666667	209.294117647	3.0464125	0.0019102483165	531.49	2.74	0.0	0	0	17	0	0	0	7	9	0	0.215189873418	0.186585557711	0.0	0.4375	0.5625	0.0	0.0	540.49	2.96	7.15939270989	123.242527515	0.11295836101	0.00208974919627	-1	283	-1	-1	-1	18978	-1	-1	3558	0.0	-1	2.91	0.00423728813559	0.0	425	-1	3.31	0.00888888888889	-1	236.0	3.19713178295	0.00207231040564	-1	2.88	0.0	0	0	3	0	0	0	0	0	3	0.0379746835443	0.0371283234569	0.0	0.0	0.0	1.0	0.0	-1	2.92	-1	163.679565004	0.08589777535	0.00177374570312	-1	16854	-1	-1	-1	18303	-1	-1	708
3	0.00438546875166	167	148.0	125	22.1810730128	592	4	0.000202091648563	6396	4516.33333333	3231	1664.1004577	0.0	613.88	3.32	0.656378063329	0.00444601626838	5.63957361759	0.0	0.0	20994	645.226151669	100.0	623.06	3.615	0.02	9.63024106968	0.997719344847	613.416078431	192.386363636	149.329781695	3.25611769687	0.00123549863093	1.77720739813	152.126670258	40.0266666667	3.30714125898	607.44	2.95	0.0	1.21299084049	0	0	88	0	0	0	75	2522	1	0.00772191361789	0.0	612.52	3.115	1.28217580507	2.27763399116	102.407842711	149.962306039	0.11304954119	0.00116968363564	1.32557626239	146.749693731	15.1684000593	1.90680099592	86.8015830017	16930	12991.6910075	152.839836239	11409.5002694	3002.0	-1	-1	-1	-1	0.0	613.88	3.32	0.00507872016252	0.0	500	623.06	3.47	0.00625	613.022695811	196.9	3.30725	0.00110182641433	608.93	3.08	0.0	0	0	20	0	0	1	0	3	16	0.227272727273	0.19895922801	0.05	0.0	0.15	0.8	0.0	612.17	3.215	1.68383350545	108.343945499	0.0802151066032	0.000943891687453	-1	1333	-1	-1	-1	20436	-1	-1	3938	0.0	612.99	3.195	0.005206247497	0.0	666	622.97	3.615	0.02	613.56799308	192.076923077	3.23586593786	0.00127697900365	607.44	2.95	0.0	0	0	65	0	0	2	0	61	1	0.738636363636	0.630778558076	0.03125	0.0	0.953125	0.015625	0.0	612.52	3.115	2.44523862449	103.167840752	0.1156103718	0.00123065857636	-1	133	-1	-1	-1	18562	-1	-1	12485	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	613.06	3.215	0.00591715976331	0.0	216	616.89	3.465	0.005	612.662857143	169.0	3.358671875	0.00127204585538	610.81	3.21	0.0	0	0	3	0	0	0	0	1	2	0.0340909090909	0.0256151164553	0.0	0.0	0.333333333333	0.666666666667	0.0	612.08	3.235	1.19516421948	55.3443764081	0.0900451482326	0.00117519506937	-1	1499	-1	-1	-1	15423	-1	-1	507
76	0.00453628368014	-1	-1	-1	-1	-1	0	-1	-1	-1	-1	-1	0.0	-1	3.12	0.594193182962	0.0045710641012	11.2842757552	0.0	0.0	20994	655.444778804	91.0	-1	3.36	0.02	8.85736187574	1.00406636657	-1	169.395348837	131.519418168	3.01946969697	0.00243415678743	1.51846148208	151.688425743	41.6451612903	3.24875791399	-1	2.68	0.0	1.51679363162	0	0	86	0	0	0	31	2522	1	0.00677956651933	0.0	-1	3.0	1.27674858763	-1	82.6852684894	109.925224845	0.115303141792	0.00221982878438	1.3257652157	145.437472049	19.6155523112	1.78443314328	85.3456411582	14568	11179.1505442	127.550764495	4702.34119803	1291.0	-1	-1	-1	-1	0.0	-1	3.12	0.00547017452462	0.0	600	-1	3.36	0.0144444444444	-1	182.80952381	3.07537931034	0.00216524395347	-1	2.69	0.0	0	0	21	0	0	1	0	1	19	0.244186046512	0.204050175401	0.047619047619	0.0	0.047619047619	0.904761904762	0.0	-1	3.03	-1	114.651480168	0.150728894281	0.00202833697104	-1	10868	-1	-1	-1	15656	-1	-1	3839	0.0	-1	3.16	0.00616388687455	0.0	400	-1	3.34	0.0175	-1	162.235294118	3.00615442846	0.00244360154563	-1	2.73	0.0	0	0	51	0	0	0	5	44	1	0.593023255814	0.439778888062	0.0	0.1	0.88	0.02	0.0	-1	3.03	-1	72.3625837668	0.0902658720056	0.0021096313172	-1	925	-1	-1	-1	20611	-1	-1	8274	0.0	-1	3.13	0.00594530321046	0.0	258	-1	3.35	0.0175	-1	168.2	3.01602870813	0.00267172619048	-1	2.89	0.0	0	0	10	0	0	0	4	6	0	0.116279069767	0.0894015095142	0.0	0.4	0.6	0.0	0.0	-1	2.93	-1	48.5908084587	0.0606298601443	0.00228813216344	-1	8236	-1	-1	-1	20819	-1	-1	1682	0.0	-1	3.16	0.00829875518672	0.0	133	-1	3.16	0.01	-1	120.5	2.76432432432	0.00296682098765	-1	2.68	0.0	0	0	2	0	0	1	0	0	1	0.0232558139535	0.012809609865	0.5	0.0	0.0	0.5	0.0	-1	2.79	-1	17.6776695297	0.0883660486757	0.00232338031657	-1	11625	-1	-1	-1	11817	-1	-1	241
62	0.004211664399	241	194.625	141	34.9200617738	1557	8	0.000419111483655	3473	2359.0	1724	584.45815362	0.0	579.81	3.215	0.450772946839	0.00382439228835	6.69953645175	0.0	0.0	20994	423.686766579	75.0	596.5	3.59	0.0122222222222	7.26977246942	1.11655902845	585.556891714	217.780821918	119.504916795	3.12092260603	0.0010325203252	1.37209703575	134.181099078	38.9016393443	3.02197562504	574.7	2.69	0.0	1.32246128548	0	0	73	0	0	0	61	2522	1	0.00510367191631	0.0	592.24	3.16	1.39704899192	3.89854047489	114.31829913	104.686748697	0.108246287059	0.000920703757952	1.37746636777	115.256318145	13.5556936599	1.55145254512	80.3922500482	15898	8604.35400926	97.4188895385	8185.04704376	2373.0	-1	-1	-1	-1	0.0	591.98	3.33	0	0.0	-1	592.88	3.335	0.003125	592.47797619	-1	3.21994047619	0.000825066137566	591.94	3.14	0.0	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	592.24	3.16	0.264191331552	0	0.067178480345	0.000711667674626	-1	-1	-1	-1	-1	-1	-1	-1	0	0.0	579.81	3.215	0.00454833932727	0.0	575	596.5	3.59	0.00888888888889	585.697614608	219.860465116	3.13560758514	0.00102713557994	575.03	2.86	0.0	0	0	43	0	0	0	13	29	0	0.58904109589	0.495284995809	0.0	0.309523809524	0.690476190476	0.0	0.0	591.68	3.365	3.77956128364	106.783399235	0.114693536507	0.000894655372356	-1	875	-1	-1	-1	20411	-1	-1	9454	0.0	577.33	3.045	0.00465549348231	0.0	749	594.65	3.42	0.0122222222222	584.727007701	214.8	3.09140659341	0.00105966790813	574.7	2.935	0.0	0	0	30	0	0	0	17	13	0	0.41095890411	0.337594300084	0.0	0.566666666667	0.433333333333	0.0	0.0	591.52	3.375	3.56427981446	126.160652919	0.0899076629396	0.000971539138108	-1	3023	-1	-1	-1	19912	-1	-1	6444	0.0	-1	-1	0	0.0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	0	0	0	0	0.0	0	0	0	0	0.0	-1	-1	-1	0	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	0
