[BeGaze]
Converted from:	E:\SMI from 3-25-15\MT430PN56168-[631e0eca-3d36-4d8c-a365-e1f44a5da588]\MT430PN56168-eye_data.idf
Date:	09.06.2015 15:27:25
Version:	BeGaze 3.5.90
Sample Rate:	120
Subject:	MT430PN56168
Description:	Run67
Stimulus:	mt430pn56168-scrrec.avi

Table Header for Fixations:
Event Type,Trial,Number,Start,End,Duration,Location X,Location Y,Dispersion X,Dispersion Y,AOI hit,Image,Plane,Avg. Pupil Size X,Avg. Pupil Size Y

Table Header for Saccades:
Event Type,Trial,Number,Start,End,Duration,Start Loc.X,Start Loc.Y,End Loc.X,End Loc.Y,Amplitude,Peak Speed,Peak Speed At,Average Speed,Peak Accel.,Peak Decel.,Average Accel.

Table Header for Blinks:
Event Type,Trial,Number,Start,End,Duration

Table Header for User Events:
Event Type,Trial,Number,Start,Description

UserEvent,1,1,167531284088,# Message: MT430PN56168-scrrec.avi
Fixation R,1,13,167538075884,167538192627,116743,1631.11,1080.10,56,20,-,-,-1,17.31,17.31
Blink L,1,2,167538276128,167538384500,108372
Blink R,1,2,167538276128,167538384500,108372
Saccade L,1,11,167538384500,167538434626,50126,963.04,899.18,865.62,778.15,26.14,1807.81,0.00,521.58,-756.86,-94383.98,22472.30
Saccade R,1,10,167538384500,167538434626,50126,963.04,899.18,865.62,778.15,26.14,1807.81,0.00,521.58,-756.86,-94383.98,22472.30
Fixation L,1,14,167538434626,167538593184,158558,835.96,820.81,34,62,-,-,-1,17.52,17.52
Fixation R,1,14,167538434626,167538593184,158558,835.96,820.81,34,62,-,-,-1,16.73,16.73
Saccade L,1,12,167538593184,167538693242,100058,834.42,840.98,1090.53,688.88,6.96,224.65,0.75,69.54,9276.41,-8003.48,3737.85
Saccade R,1,11,167538593184,167538693242,100058,834.42,840.98,1090.53,688.88,6.96,224.65,0.75,69.54,9276.41,-8003.48,3737.85
Fixation L,1,15,167538693242,167538951740,258498,1100.84,684.61,24,17,-,-,-1,16.59,16.59
Fixation R,1,15,167538693242,167538951740,258498,1100.84,684.61,24,17,-,-,-1,16.91,16.91
Saccade L,1,13,167538951740,167538993490,41750,1114.79,680.66,1235.23,1077.93,7.02,353.92,0.80,168.06,12774.81,-18608.75,11491.78
Saccade R,1,12,167538951740,167538993490,41750,1114.79,680.66,1235.23,1077.93,7.02,353.92,0.80,168.06,12774.81,-18608.75,11491.78
Fixation L,1,16,167538993490,167539252116,258626,1250.43,1075.86,18,57,-,-,-1,16.29,16.29
Fixation R,1,16,167538993490,167539252116,258626,1250.43,1075.86,18,57,-,-,-1,16.69,16.69
Blink L,1,3,167540029459,167541859498,1830039
Blink R,1,3,167540029459,167541901147,1871688
Fixation L,1,17,167541859498,167542326662,467164,924.67,500.57,73,23,-,-,-1,18.24,18.24
Fixation R,1,17,167541901147,167542326662,425515,923.06,500.62,73,23,-,-,-1,18.01,18.01
Saccade L,1,14,167542326662,167542384876,58214,985.86,501.25,1290.52,380.40,7.72,323.71,0.43,132.67,11104.95,-15243.13,6495.93
Saccade R,1,13,167542326662,167542384876,58214,985.86,501.25,1290.52,380.40,7.72,323.71,0.43,132.67,11104.95,-15243.13,6495.93
Fixation L,1,18,167542384876,167542593495,208619,1318.36,384.02,47,35,-,-,-1,15.67,15.67
Fixation R,1,18,167542384876,167542593495,208619,1318.36,384.02,47,35,-,-,-1,16.39,16.39
Saccade L,1,15,167542593495,167542710310,116815,1338.05,359.84,895.73,79.87,34.18,674.26,0.79,292.63,36263.36,-35740.76,13028.44
Saccade R,1,14,167542593495,167542710310,116815,1338.05,359.84,895.73,79.87,34.18,674.26,0.79,292.63,36263.36,-35740.76,13028.44
Fixation L,1,19,167542710310,167542827125,116815,884.78,82.61,19,38,-,-,-1,15.55,15.55
Fixation R,1,19,167542710310,167542827125,116815,884.78,82.61,19,38,-,-,-1,15.27,15.27
Saccade L,1,16,167542827125,167543177351,350226,877.52,77.05,636.69,262.48,51.87,614.40,1.00,148.11,44108.53,-12853.70,8305.88
Saccade R,1,15,167542827125,167543169108,341983,877.52,77.05,760.79,71.67,47.13,614.40,1.00,137.82,25931.22,-12853.70,7410.82
Saccade R,1,16,167543219137,167543294219,75082,876.90,1040.45,723.89,821.41,41.41,988.39,0.33,551.53,9394.18,-34494.58,13701.06
Saccade L,1,17,167543244145,167543294219,50074,907.02,1029.21,723.89,821.41,23.28,988.39,0.00,464.84,-2178.92,-34494.58,15630.28
Fixation L,1,20,167543294219,167543569467,275248,730.13,846.41,10,85,-,-,-1,16.61,16.61
Fixation R,1,20,167543294219,167543569467,275248,730.13,846.41,10,85,-,-,-1,16.66,16.66
Saccade L,1,18,167543569467,167543577838,8371,734.76,871.43,737.11,873.51,0.06,11.22,0.00,7.41,97.71,-598.13,339.23
Saccade R,1,17,167543569467,167543577838,8371,734.76,871.43,737.11,873.51,0.06,11.22,0.00,7.41,97.71,-598.13,339.23
Fixation L,1,21,167543577838,167543703144,125306,707.69,878.70,73,26,-,-,-1,16.76,16.76
Fixation R,1,21,167543577838,167543703144,125306,707.69,878.70,73,26,-,-,-1,17.08,17.08
Saccade L,1,19,167543703144,167543711230,8086,670.57,895.35,669.15,897.78,0.06,12.09,1.00,7.76,-133.26,-596.23,348.81
Saccade R,1,18,167543703144,167543711230,8086,670.57,895.35,669.15,897.78,0.06,12.09,1.00,7.76,-133.26,-596.23,348.81
Fixation L,1,22,167543711230,167543969828,258598,667.98,895.63,18,31,-,-,-1,15.92,15.92
Fixation R,1,22,167543711230,167543969828,258598,667.98,895.63,18,31,-,-,-1,16.18,16.18
Saccade R,1,19,167543969828,167543986580,16752,680.63,867.84,704.71,1114.74,10.38,1669.52,1.00,619.48,90997.40,17583.31,47901.02
Saccade L,1,20,167544053322,167544061583,8261,989.70,856.15,882.81,577.83,6.87,1628.42,0.00,831.33,-19350.96,-85315.49,44984.35
Saccade R,1,20,167544053322,167544061583,8261,989.70,856.15,882.81,577.83,6.87,1628.42,0.00,831.33,-19350.96,-85315.49,44984.35
Fixation L,1,23,167544061583,167544303638,242055,953.00,573.12,80,15,-,-,-1,14.97,14.97
Fixation R,1,23,167544061583,167544303638,242055,953.00,573.12,80,15,-,-,-1,15.39,15.39
Saccade L,1,21,167544303638,167544311833,8195,944.69,578.49,926.32,561.52,0.32,57.12,1.00,39.15,2713.52,-1715.70,1682.96
Saccade R,1,21,167544303638,167544311833,8195,944.69,578.49,926.32,561.52,0.32,57.12,1.00,39.15,2713.52,-1715.70,1682.96
Fixation L,1,24,167544311833,167544854089,542256,904.03,538.29,55,41,-,-,-1,15.62,15.62
Fixation R,1,24,167544311833,167544854089,542256,904.03,538.29,55,41,-,-,-1,15.73,15.73
Saccade L,1,22,167544854089,167544862630,8541,871.10,561.03,861.43,561.71,0.16,21.38,1.00,18.83,149.98,-844.50,408.35
Saccade R,1,22,167544854089,167544862630,8541,871.10,561.03,861.43,561.71,0.16,21.38,1.00,18.83,149.98,-844.50,408.35
Fixation L,1,25,167544862630,167545104362,241732,854.23,565.32,13,8,-,-,-1,16.43,16.43
Fixation R,1,25,167544862630,167545104362,241732,854.23,565.32,13,8,-,-,-1,16.37,16.37
Saccade L,1,23,167545104362,167545312949,208587,864.52,570.07,1452.13,969.67,17.57,492.71,0.12,84.25,29070.76,-15787.06,4453.89
Saccade R,1,23,167545104362,167545312949,208587,864.52,570.07,1452.13,969.67,17.57,492.71,0.12,84.25,29070.76,-15787.06,4453.89
Fixation L,1,26,167545312949,167545421315,108366,1491.31,985.85,63,31,-,-,-1,16.18,16.18
Fixation R,1,26,167545312949,167545421315,108366,1491.31,985.85,63,31,-,-,-1,16.40,16.40
Saccade L,1,24,167545421315,167545529945,108630,1515.27,995.85,1572.63,1059.66,2.81,70.47,1.00,25.89,2215.60,-2886.04,892.10
Saccade R,1,24,167545421315,167545529945,108630,1515.27,995.85,1572.63,1059.66,2.81,70.47,1.00,25.89,2215.60,-2886.04,892.10
Fixation L,1,27,167545529945,167545621578,91633,1599.34,1051.27,36,62,-,-,-1,15.78,15.78
Fixation R,1,27,167545529945,167545621578,91633,1599.34,1051.27,36,62,-,-,-1,16.43,16.43
Saccade L,1,25,167545621578,167545713321,91743,1606.37,1005.66,959.82,607.63,17.25,617.93,0.64,188.05,32300.34,-18577.95,11854.58
Saccade R,1,25,167545621578,167545713321,91743,1606.37,1005.66,959.82,607.63,17.25,617.93,0.64,188.05,32300.34,-18577.95,11854.58
Fixation L,1,28,167545713321,167545955331,242010,951.22,612.71,46,47,-,-,-1,16.72,16.72
Fixation R,1,28,167545713321,167545955331,242010,951.22,612.71,46,47,-,-,-1,16.58,16.58
Saccade L,1,26,167545955331,167545963521,8190,913.04,576.56,908.83,551.65,0.49,90.26,0.00,59.57,1556.34,-3606.55,2801.77
Saccade R,1,26,167545955331,167545963521,8190,913.04,576.56,908.83,551.65,0.49,90.26,0.00,59.57,1556.34,-3606.55,2801.77
Fixation L,1,29,167545963521,167546422414,458893,885.14,529.01,58,27,-,-,-1,16.38,16.38
Fixation R,1,29,167545963521,167546422414,458893,885.14,529.01,58,27,-,-,-1,16.15,16.15
Saccade L,1,27,167546422414,167546447374,24960,850.38,541.07,639.26,666.86,3.32,199.17,0.67,133.10,9874.58,-9165.28,6272.41
Saccade R,1,27,167546422414,167546447374,24960,850.38,541.07,639.26,666.86,3.32,199.17,0.67,133.10,9874.58,-9165.28,6272.41
