Data properties:

Recording date: 9/27/2011
Recording time: 15:53:20:000 (corresponds to time 0)
Study: Pilot6
Subject: P15
Recording: Pilot15
Screen resolution: 1280 x 1024
Coordinate unit: Pixels


Filter settings:

Eye: Average
Validity: Normal
Fixation filter: Tobii fixation filter
Fixation radius: 35

FixationIndex	Timestamp	FixationDuration	MappedFixationPointX	MappedFixationPointY	
14	186	250	529	466	
15	436	466	590	462	
16	1119	183	648	429	
17	1302	816	641	469	
18	2118	166	447	167	
19	2285	466	155	42	
20	2751	233	960	188	
21	3217	83	738	775	
22	3301	250	622	954	
23	3551	316	451	988	
24	3867	300	882	1014	
25	4167	117	756	997	
26	4283	266	1130	988	
27	4550	217	982	993	
28	4767	250	672	500	
29	5016	283	511	470	
30	5299	1016	397	452	
31	6315	350	496	485	
32	6665	300	405	425	
33	7165	366	674	435	
34	7531	250	678	476	
35	7781	250	429	477	
36	8031	366	381	468	
37	8597	1533	706	479	
38	10130	166	759	477	
39	10296	100	737	603	
40	15008	84	824	522	
41	15874	83	828	464	
42	15957	383	784	455	
43	16341	100	671	606	
44	17406	1150	778	458	
45	18556	217	690	498	
46	18772	716	761	478	
47	20655	117	765	501	
48	21721	266	754	526	
49	22104	17	798	497	
50	25302	1549	790	482	
51	27583	483	789	504	
52	28250	483	778	486	
53	28916	183	785	464	
54	29099	350	825	514	
55	29716	17	190	1339	
56	32231	516	770	530	
57	34313	850	768	534	
58	35162	333	794	606	
59	35612	350	857	606	
60	35962	200	776	606	
61	36278	483	781	599	
62	36761	233	876	591	
63	37095	216	756	485	
64	37411	250	763	498	
65	37661	283	704	404	
66	37944	216	779	440	
67	38294	217	744	497	
68	38510	233	688	452	
69	38743	450	853	610	
70	39193	516	463	456	
71	39709	1033	475	492	
72	40992	1016	557	506	
73	42008	366	686	433	
74	42375	383	578	242	
75	43024	83	647	1014	
76	43107	233	625	496	
77	43340	400	763	565	
78	43740	350	488	533	
79	44090	216	403	355	
80	44306	150	336	344	
81	44456	233	376	344	
82	44690	1283	485	381	
83	46189	566	499	398	
84	46755	183	633	394	
85	46938	200	587	395	
86	47138	266	507	391	
87	47405	283	604	398	
88	47688	949	499	400	
89	48637	216	534	402	
90	48854	283	600	387	
91	49336	83	692	480	
92	49420	167	771	617	
93	49586	733	735	592	
94	50319	433	487	416	
95	50752	450	352	417	
96	51202	416	583	456	
97	51618	200	540	388	
98	51818	416	487	394	
99	52235	233	336	361	
100	52468	216	805	364	
101	52684	233	853	382	
102	52918	233	832	418	
103	53151	466	913	488	
104	53617	1066	589	385	
105	54683	750	487	392	
106	55616	150	504	433	
107	55766	366	589	391	
108	56132	200	944	330	
109	56332	117	952	401	
110	56448	333	548	513	
111	56782	200	474	599	
112	56981	366	424	628	
113	57348	799	546	608	
114	58147	233	437	625	
115	58530	1366	418	615	
116	59896	266	451	562	
117	60313	200	452	548	
118	60512	933	483	619	
119	61578	167	513	616	
120	61745	216	547	626	
121	61962	633	454	563	
122	62594	450	444	614	
123	63044	766	466	565	
124	63994	416	467	563	
125	64410	200	516	522	
126	64610	483	559	624	
127	65093	233	450	566	
128	65576	200	456	563	
129	65776	483	504	581	
130	66259	400	467	610	
131	66658	200	454	565	
132	67125	799	487	619	
133	67924	900	488	523	
134	68824	849	459	560	
135	69673	350	481	531	
136	70023	366	550	518	
137	70623	300	508	583	
138	70922	350	555	510	
139	71272	383	501	505	
140	71655	433	497	608	
141	72088	416	562	513	
142	72505	216	514	500	
143	72721	467	470	560	
144	73188	416	555	525	
145	73604	516	585	582	
146	74254	150	513	477	
147	74404	167	604	575	
148	74570	100	535	566	
149	74670	300	482	519	
150	74970	266	595	562	
151	75420	316	592	565	
152	75736	550	529	469	
153	76286	933	486	514	
154	77218	533	522	483	
155	77751	250	559	414	
156	78151	500	529	470	
157	78651	166	583	567	
158	78817	167	568	525	
159	78984	166	593	562	
160	79150	333	552	481	
161	79700	133	610	505	
162	79833	433	597	576	
163	80266	167	565	509	
164	80433	500	534	463	
165	80933	400	560	411	
166	81532	300	580	558	
167	81832	616	549	396	
168	82448	683	609	499	
169	83131	383	551	505	
170	83714	483	556	511	
171	84197	150	604	597	
172	84347	633	588	563	
173	84980	1449	557	506	
174	86429	366	616	518	
175	86795	383	526	472	
176	87179	200	568	517	
177	87378	766	618	505	
178	88145	333	531	466	
179	88661	100	564	426	
180	88761	683	631	520	
181	89444	933	552	447	
182	90377	200	525	475	
183	90576	633	553	429	
184	91209	233	883	391	
185	91443	400	957	402	
186	91842	300	540	501	
187	92142	283	512	575	
188	92425	150	546	444	
189	92575	233	578	659	
190	92808	166	555	621	
191	93141	83	548	593	
192	93225	450	576	641	
193	93675	583	707	644	
194	94258	500	539	580	
195	94890	866	548	580	
196	95756	383	522	628	
197	96140	183	684	637	
198	96323	483	733	628	
199	96806	117	545	634	
200	96922	216	592	651	
201	97139	316	555	581	
202	97605	450	552	584	
203	98055	583	601	623	
204	98638	416	632	599	
205	99054	366	606	648	
206	99421	300	639	589	
207	99721	316	651	638	
208	100037	316	623	605	
209	100603	483	624	623	
210	101086	450	723	637	
211	101536	150	641	593	
212	101686	383	695	590	
213	102185	150	634	551	
214	102335	650	596	535	
215	102985	250	697	589	
216	103235	283	615	547	
217	103518	483	659	546	
218	104001	500	687	597	
219	104501	266	651	549	
220	104767	417	614	500	
221	105184	416	648	558	
222	105600	483	611	478	
223	106200	83	627	512	
224	106283	233	644	549	
225	106516	500	681	595	
226	107016	633	617	593	
227	107649	649	617	484	
228	108298	183	608	686	
229	108481	1049	649	548	
