Sc_id	fixationrate	length	meanabspathangles	meanfixationduration	meanpathdistance	meanrelpathangles	numfixations	numsegments	stddevabspathangles	stddevfixationduration	stddevpathdistance	stddevrelpathangles
P61	0.00273113825021	1618739	1.6015360553	341.003619091	238.155548423	1.69819610668	4421	150	0.984108897326	281.166715951	199.834231267	1.60436759777
problem2	0.00274980330788	1157901	1.59777397039	338.311243719	233.025322288	1.70319852254	3184	122	0.949111732667	280.393085327	199.315459404	1.61365746613
problem1	0.00268424044892	460838	1.61106418103	347.93371059	251.148726607	1.68574508512	1237	28	1.06798160819	283.144365736	200.638478798	1.58161655488
P62	0.00231354429664	601242	1.58071050636	424.972681524	230.894822552	1.94223908453	1391	29	1.04151456109	389.150629195	176.644622653	1.65466184595
problem2	0.00230171935663	468780	1.58490994782	425.986098239	229.448051908	1.96118789299	1079	26	1.02913776599	416.836071576	180.645672929	1.65773692594
problem1	0.00235539248992	132462	1.56639978834	421.467948718	235.825079795	1.87851907175	312	3	1.08422483083	273.062797858	162.451184552	1.6453772129
