Sc_id	abspathanglesrate	blinkdurationmax	blinkdurationmean	blinkdurationmin	blinkdurationstd	blinkdurationtotal	blinknum	blinkrate	blinktimedistancemax	blinktimedistancemean	blinktimedistancemin	blinktimedistancestd	doubleclicrate	enddistance	endpupilsize	eyemovementvelocity	fixationrate	fixationsaccadetimeratio	keypressedrate	leftclicrate	length	longestsaccadedistance	longestsaccadeduration	maxdistance	maxpupilsize	maxpupilvelocity	maxsaccadespeed	meanabspathangles	meandistance	meanfixationduration	meanpathdistance	meanpupilsize	meanpupilvelocity	meanrelpathangles	meansaccadedistance	meansaccadeduration	meansaccadespeed	mindistance	minpupilsize	minpupilvelocity	minsaccadespeed	numdoubleclic	numevents	numfixations	numkeypressed	numleftclic	numrightclic	numsaccades	numsamples	numsegments	relpathanglesrate	rightclicrate	startdistance	startpupilsize	stddevabspathangles	stddevdistance	stddevfixationduration	stddevpathdistance	stddevpupilsize	stddevpupilvelocity	stddevrelpathangles	stddevsaccadedistance	stddevsaccadeduration	stddevsaccadespeed	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles	sumsaccadedistance	sumsaccadeduration	timetofirstdoubleclic	timetofirstkeypressed	timetofirstleftclic	timetofirstrightclic
67_allsc	4.028543154927822e-06	375308	83426.6	8262	98158.59757249999	1251399	15	7.513419214660217e-09	88167277	26502040.033333335	1184249	34132677.00870493	0.0	532.2716	3.3786	0.0004371380591039891	2.6857969219338724e-06	1.9127743133761783	1.1520576129145666e-07	1.0067981747644691e-07	1996427934	1188027100.83	2586097.0	740.4074499999999	5.10325	3.280575539568346e-05	1472.84	1.5112126385842213	537.2311700973415	218725.89220440135	163.92141852174058	3.5803017396534074	8.741010481168008e-07	1.4503374779091434	17986020.14874599	96016.00528800755	120.24244570349381	265.2801	2.1919	0.0	0.98	0	431	5362	230	201	0	5295	134682	38	3.840777215182694e-06	0.0	531.2755999999999	3.7224000000000004	1.0830989782111977	11.917147331308826	177975.3958794456	198.70102702647478	0.23935044429162283	8.797593075577592e-07	1.0168327504122978	48890890.754228525	176713.37126267923	144.16177009085584	8042.6960878223945	1172808234.0	872714.6322097469	7667.834920661459	95235976687.61003	508404748.0	-1	-1	-1	-1
All	4.092358940036259e-06	375308	87278.92307692308	8262	103459.05209829115	1134626	13	6.789682290574153e-09	88167277	30579277.115384616	1184249	34987769.75620762	0.0	532.2716	3.3786	0.0004409798803679565	2.7284077143045675e-06	1.7181208667419046	1.1176861616791299e-07	1.0080066785237013e-07	1914669854	1188027100.83	2586097.0	740.4074499999999	5.10325	3.280575539568346e-05	1472.84	1.5108936573313065	537.3221913180001	215940.93931852985	162.74747169642498	3.5768535973862483	8.727446282115968e-07	1.450100537569288	17901596.91904495	96104.40275087176	120.43466873304918	265.2801	2.1919	0.0	0.98	0	407	5224	214	193	0	5162	129469	36	3.902640580859993e-06	0.0	531.2755999999999	3.7224000000000004	1.083524705741662	12.061119917216816	167957.97316651698	196.34958607730928	0.23901863264291043	8.769620939863072e-07	1.0176486219571883	46544895.105582505	174715.3171930858	144.31994456082575	7835.516294234818	1128075467.0	844330.8831610528	7472.268271169679	92408043296.11003	496090927.0	-1	-1	-1	-1
Sample	2.5340589405668206e-06	108383	58386.5	8390	70705.72837118644	116773	2	2.4462413990152412e-08	-1	-1.0	inf	0.0	0.0	552.7555500000001	3.7222	0.00034716750991087324	1.6879065653205164e-06	5.416536352793105	1.956993119212193e-07	9.784965596060965e-08	81758080	1188027100.83	2586097.0	573.3857	4.55905	1.8904142874498867e-05	605.16	1.5233808352027747	534.9705857088051	324150.4855072464	208.70403712274975	3.6659390945712675	9.07788814989399e-07	1.4594526081476091	21262657.07894737	92585.12030075188	112.78187969924811	530.0	3.02515	0.0	2.1	0	24	138	16	8	0	133	5213	2	2.3920161712674714e-06	0.0	530.2391	3.5314	1.0706071426931605	7.139634432063994	390549.54720206844	270.9116598567875	0.2315426299877325	9.460485490238537e-07	0.988591782951376	105599085.37207237	242705.46652422764	138.19714971598285	207.17979358757736	44732767.0	28383.749048693968	195.56664949177963	2827933391.5	12313821.0	-1	167630227401	167616687210	-1
