Sc_id	abspathanglesrate	eyemovementvelocity	fixationrate	length	meanabspathangles	meanfixationduration	meanpathdistance	meanrelpathangles	numfixations	numsamples	numsegments	relpathanglesrate	stddevabspathangles	stddevfixationduration	stddevpathdistance	stddevrelpathangles	sumabspathangles	sumfixationduration	sumpathdistance	sumrelpathangles
5_allsc	0.00302588557083	0.337538797755	0.00195787939272	209921	1.55304871617	447.909975669	173.243232185	1.60273345396	411	12780	2	0.00310741905652	0.872258002831	238.111050486	270.649337394	0.965394890159	635.196924915	184091	70856.4819635	652.312515763
gaze	0.00292938484154	0.323192537529	0.00187877177667	105388	1.56711680041	460.313131313	172.896523579	1.60992024592	198	6416	1	0.00299412047103	0.935972668472	247.312956404	223.976197378	1.0065462337	308.72200968	91142	34060.6151451	315.544368201
manual	0.0031231756023	0.352002399418	0.00203763404858	104533	1.53997601526	436.38028169	173.565409521	1.59605757138	213	6364	1	0.00322164433779	0.81059417501	229.20796972	308.289750357	0.927890404833	326.474915235	92949	36795.8668184	336.768147562
