timestamp	pupil size	adjusted pupil size
176104	3.1939705	-2.8060295
176120	3.289932	-2.710068
176137	3.298795	-2.701205
176153	3.357727	-2.642273
176170	3.1864425	-2.8135575
176187	3.2053405	-2.7946595
176203	3.280954	-2.719046
176220	3.217437	-2.782563
176237	3.2584495	-2.7415505
176253	3.244852	-2.755148
176270	3.3023795	-2.6976205
176287	3.201815	-2.798185
176303	3.2141255	-2.7858745
176320	3.2024325	-2.7975675
176337	3.17368	-2.82632
176353	3.233298	-2.766702
176370	3.196485	-2.803515
176387	3.1832235	-2.8167765
176403	3.1793955	-2.8206045
176420	3.179812	-2.820188
176437	3.1248435	-2.8751565
176453	3.196762	-2.803238
176470	3.2175075	-2.7824925
176487	3.1811835	-2.8188165
176503	3.1775385	-2.8224615
176520	3.182807	-2.817193
176537	3.1616825	-2.8383175
176553	3.1201925	-2.8798075
176570	3.1895675	-2.8104325
176587	3.2231095	-2.7768905
176603	3.193813	-2.806187
176620	3.2148075	-2.7851925
176637	3.124394	-2.875606
176653	3.1698085	-2.8301915
176670	3.171081	-2.828919
176686	3.1689205	-2.8310795
176703	3.1935615	-2.8064385
176720	3.1626775	-2.8373225
176736	3.178875	-2.821125
176753	3.1782825	-2.8217175
176770	3.2211395	-2.7788605
176786	3.1750445	-2.8249555
176803	3.2125705	-2.7874295
176820	3.1909655	-2.8090345
176836	3.1923205	-2.8076795
176853	3.1698695	-2.8301305
176870	3.149513	-2.850487
176886	3.1526865	-2.8473135
176903	3.200534	-2.799466
176920	3.222549	-2.777451
176936	3.2051275	-2.7948725
176953	3.196334	-2.803666
176970	3.178426	-2.821574
176986	3.189868	-2.810132
177003	3.1511575	-2.8488425
177020	3.1319395	-2.8680605
177036	3.136298	-2.863702
177053	3.19591	-2.80409
177070	3.1167565	-2.8832435
177086	3.2311675	-2.7688325
177103	3.2179715	-2.7820285
177120	3.1396735	-2.8603265
177136	3.1657	-2.8343
177153	3.085726	-2.914274
177170	3.148478	-2.851522
177186	3.136775	-2.863225
177203	3.106072	-2.893928
177219	3.1959235	-2.8040765
177236	3.1713075	-2.8286925
177253	3.166872	-2.833128
177269	3.1632875	-2.8367125
177286	3.134217	-2.865783
177303	3.118775	-2.881225
177319	3.177761	-2.822239
177336	3.1915915	-2.8084085
177353	3.169918	-2.830082
177369	3.134252	-2.865748
177386	3.194628	-2.805372
177403	3.189762	-2.810238
177419	3.189869	-2.810131
177436	3.212281	-2.787719
177453	3.2144155	-2.7855845
177469	3.176185	-2.823815
177486	3.202169	-2.797831
177503	3.2260655	-2.7739345
177519	3.211082	-2.788918
177536	3.274376	-2.725624
177553	3.238321	-2.761679
177569	3.2711025	-2.7288975
177586	3.272314	-2.727686
177603	3.2541495	-2.7458505
